"","movie_name","rating","types","year","duration","audience_rating","expert_rating"
"1","PERCY JACKSON & THE OLYMPIANS: THE LIGHTNING THIEF","PG","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy","2010","1h59m","49","53"
"2","PLEASE GIVE","R","Comedy","2010","1h30m","87","64"
"3","10","R","Comedy, Romance","1979","2h2m","67","53"
"4","12 ANGRY MEN (TWELVE ANGRY MEN)","NR","Classics, Drama","1957","1h35m","100","97"
"5","20,000 LEAGUES UNDER THE SEA","G","Action & Adventure, Drama, Kids & Family","1954","2h7m","89","74"
"6","10,000 B.C.","PG-13","Action & Adventure, Classics, Drama","2008","1h49m","8","37"
"7","THE 39 STEPS","NR","Action & Adventure, Classics, Mystery & Suspense","1935","1h20m","96","86"
"8","3:10 TO YUMA","NR","Classics, Drama, Western","1957","1h32m","96","79"
"9","CHARLY (A HEARTBEAT AWAY)","PG","Comedy, Drama, Romance","2002","1h43m","20","87"
"10","ABRAHAM LINCOLN","NR","Classics, Drama","1930","1h37m","82","40"
"11","DARK WATER","PG-13","Art House & International, Horror, Mystery & Suspense","2002","1h40m","80","66"
"12","THE ACCUSED","R","Drama, Mystery & Suspense","1988","1h50m","91","79"
"13","THE LOST CITY","R","Drama","2005","2h23m","25","64"
"14","THE BREAKING POINT","NR","Drama","1950","1h37m","100","86"
"15","ADAM'S RIB","NR","Classics, Comedy, Romance","1949","1h41m","96","86"
"16","THE BRIDGE OF SAN LUIS REY","PG","Art House & International, Drama, Faith & Spirituality","2005","2h4m","4","35"
"17","THE PROWLER (COST OF LIVING )","PG","Drama, Mystery & Suspense","1951","1h32m","100","86"
"18","CRIMINAL","R","Drama, Mystery & Suspense","2004","1h27m","69","57"
"19","THE ADVENTURES OF MARK TWAIN","G","Action & Adventure, Animation, Kids & Family","1985","1h26m","80","82"
"20","DEEP BLUE","G","Documentary, Special Interest","2005","1h30m","67","80"
"21","THE ADVENTURES OF ROBIN HOOD","PG","Action & Adventure, Classics, Romance","1938","1h42m","100","89"
"22","MAN HUNT","NR","Classics, Drama, Mystery & Suspense","1941","1h40m","92","75"
"23","DEAD END","R","Comedy, Horror, Mystery & Suspense","2003","1h23m","75","60"
"24","BANDWAGON","R","Comedy","1997","1h43m","80","91"
"25","WHORE","R","Art House & International, Drama","2004","1h17m","0","63"
"26","TRISTAN & ISOLDE","PG-13","Drama, Science Fiction & Fantasy, Romance","2006","2h6m","31","71"
"27","WILD SIDE","NR","Art House & International, Drama","2005","1h34m","63","80"
"28","A TALE OF TWO PIZZAS","PG","Comedy","2003","1h22m","38",NA
"29","RUNNING SCARED","R","Action & Adventure, Drama, Mystery & Suspense","2006","2h1m","41","79"
"30","GOING THE DISTANCE","R","Comedy","2004","1h33m","0","61"
"31","ULTRAVIOLET","PG-13","Action & Adventure, Drama, Horror, Science Fiction & Fantasy","2006","1h28m","8","30"
"32","HOME OF THE BRAVE","R","Action & Adventure, Documentary, Drama, Special Interest","2004","1h15m","93","48"
"33","ARTHUR AND THE INVISIBLES (ARTHUR AND THE MINIMOYS)","PG","Animation, Kids & Family, Science Fiction & Fantasy","2007","1h34m","22","56"
"34","MALEVOLENCE","R","Horror","2004","1h30m","33","83"
"35","ETERNAL","R","Horror, Mystery & Suspense","2004","1h48m","21","39"
"36","A FAREWELL TO ARMS","NR","Classics, Drama, Romance","1957","2h30m","0","37"
"37","THE NARROW MARGIN","NR","Classics, Drama, Mystery & Suspense","1952","1h11m","100","88"
"38","THE MATADOR","R","Action & Adventure, Comedy, Drama, Mystery & Suspense","2006","1h37m","75","65"
"39","SMILE","PG-13","Art House & International, Comedy, Drama","2005","1h47m","15","66"
"40","THE INTRUDER (L'INTRUS)","G","Art House & International, Drama","2005","2h10m","87","73"
"41","SAINT RALPH","PG-13","Comedy, Drama","2005","1h38m","64","85"
"42","THE BAXTER","PG-13","Comedy, Romance","2005","1h31m","32","75"
"43","OLIVER TWIST","PG-13","Drama, Kids & Family","2005","2h10m","61","63"
"44","THE ALAMO","NR","Action & Adventure, Classics, Drama, Western","1960","3h12m","52","63"
"45","G","R","Drama, Romance","2005","1h36m","24","60"
"46","ALEXANDER THE GREAT","G","Classics","1956","2h21m","0","42"
"47","ALFIE","PG","Classics, Comedy, Drama, Romance","1966","1h54m","96","76"
"48","NEVERWAS","PG-13","Drama, Mystery & Suspense","2005","1h42m","14","65"
"49","THE SECOND CHANCE","PG-13","Drama, Faith & Spirituality","2006","1h44m","44","78"
"50","MOONLIGHT","R","Drama, Mystery & Suspense","2003","1h30m","60","67"
"51","ALIENS","R","Action & Adventure, Horror, Science Fiction & Fantasy","1986","2h17m","97","94"
"52","RISE: BLOOD HUNTER","R","Horror, Mystery & Suspense","2007","1h37m","36","20"
"53","ALL ABOUT EVE","PG","Classics, Drama","1950","2h18m","99","94"
"54","WHEN DO WE EAT?","R","Comedy","2006","1h27m","42","68"
"55","THE MOSTLY UNFABULOUS SOCIAL LIFE OF ETHAN GREEN","R","Comedy, Drama","2006","1h28m","30","58"
"56","DIRTY","R","Drama","2006","1h37m","21","42"
"57","STAY ALIVE","PG-13","Horror, Mystery & Suspense","2006","1h25m","10","55"
"58","ALL OF ME","PG","Comedy, Science Fiction & Fantasy","1984","1h33m","85","67"
"59","ALL QUIET ON THE WESTERN FRONT","NR","Drama",NA,"2h36m","100","69"
"60","DREAMLAND","PG-13","Art House & International, Drama","2006","1h28m","67","65"
"61","INDEPENDENT LENS","NR","Documentary, Special Interest","2006","1h17m","84","84"
"62","ALL THE KING'S MEN","PG","Classics, Drama","1949","1h49m","95","78"
"63","STREET FIGHT","NR","Documentary, Special Interest","2005","1h26m","100","93"
"64","LOST HORIZON","G","Action & Adventure, Drama, Musical & Performing Arts, Science Fiction & Fantasy","1973","2h23m","20","45"
"65","THE MOTEL","NR","Comedy, Drama","2005","1h16m","88","64"
"66","ONCE IN A LIFETIME: THE EXTRAORDINARY STORY OF THE NEW YORK COSMOS","PG-13","Documentary, Sports & Fitness","2006","1h37m","81","80"
"67","REQUIEM","NR","Art House & International, Drama, Horror, Mystery & Suspense","2006","1h32m","86","66"
"68","GUI SI (SILK)","PG-13","Art House & International, Horror, Mystery & Suspense","2006","1h57m","40","57"
"69","PARK","R","Art House & International, Comedy, Drama","2006","1h26m","36","48"
"70","THE 4TH DIMENSION","NR","Drama, Science Fiction & Fantasy","2006","1h22m","63","31"
"71","BON COP, BAD COP","R","Action & Adventure, Comedy","2006","1h56m","78","82"
"72","AMAZING GRACE","PG","Drama, Mystery & Suspense","2007","1h56m","67","85"
"73","THE SILENCE","R","Action & Adventure, Drama, Mystery & Suspense, Television",NA,"1h44m","50","38"
"74","COCAINE COWBOYS","R","Documentary","2006","1h56m","69","79"
"75","GONE","R","Horror, Mystery & Suspense","2007","1h28m","54","20"
"76","THE SITUATION","R","Drama, Mystery & Suspense","2006","1h46m","35","58"
"77","SNOW BLIND","NR","Documentary, Sports & Fitness","2006","1h45m","20",NA
"78","FOUR SHEETS TO THE WIND","R","Art House & International, Drama","2007","1h21m","100","61"
"79","THE TIGER'S TAIL","R","Comedy, Drama, Mystery & Suspense","2006","1h46m","14","30"
"80","IT'S A BOY GIRL THING","PG-13","Comedy, Romance","2006","1h35m","67","61"
"81","SLIPSTREAM","R","Art House & International, Comedy, Drama, Science Fiction & Fantasy","2007","1h37m","25","29"
"82","DELIRIOUS","NR","Comedy, Drama","2007","1h47m","83","57"
"83","INTERVIEW","R","Art House & International, Drama","2007","1h24m","58","55"
"84","AMERICAN ANTHEM","PG-13","Action & Adventure, Documentary, Drama","1986","1h42m","0","65"
"85","THE TEN","R","Comedy","2007","1h39m","35","40"
"86","THE HAPPENING","R","Drama, Mystery & Suspense, Science Fiction & Fantasy","2008","1h29m","17","24"
"87","MOLIÈRE","PG-13","Comedy","2007","2h0m","69","79"
"88","STRAIGHTHEADS (CLOSURE)","R","Drama, Mystery & Suspense","2007","1h28m","40","32"
"89","BORDERLAND","R","Drama, Horror, Mystery & Suspense","2007","1h44m","100","43"
"90","SPIRAL","PG-13","Drama, Mystery & Suspense","2007","1h30m","55","59"
"91","ALEXANDRA","NR","Drama","2007","1h35m","88","69"
"92","BLOOD AND TEARS: THE ARAB-ISRAELI CONFLICT","PG-13","Documentary","2007","1h13m","50","33"
"93","THE COOL SCHOOL","NR","Documentary, Musical & Performing Arts","2008","1h26m","92","63"
"94","PATHOLOGY","R","Drama, Mystery & Suspense","2008","1h33m","45","39"
"95","DISNEY'S A CHRISTMAS CAROL","PG","Animation, Drama, Kids & Family, Science Fiction & Fantasy","2009","1h35m","52","58"
"96","DEEP WATER","PG","Documentary, Special Interest","2006","1h33m","96","87"
"97","ROAD TO VICTORY","NR","Art House & International, Drama, Sports & Fitness","2007","1h39m","78","78"
"98","BEVERLY HILLS CHIHUAHUA","PG","Comedy","2008","1h31m","40","52"
"99","FIREFLIES IN THE GARDEN","R","Drama","2011","1h38m","22","45"
"100","THE EYE","PG-13","Drama, Horror, Mystery & Suspense","2008","1h37m","21","43"
"101","DAY OF THE DEAD","R","Horror, Mystery & Suspense","2008","1h27m","13","22"
"102","MY BEST FRIEND'S GIRL","R","Comedy, Drama","2008","1h43m","14","46"
"103","THE BURROWERS","R","Horror, Mystery & Suspense, Western","2008","1h36m","75","34"
"104","THE MIDNIGHT MEAT TRAIN","R","Drama, Horror, Mystery & Suspense","2008","1h40m","73","50"
"105","THE LUCKY ONES","R","Comedy, Drama","2008","1h55m","37","54"
"106","RUN FATBOY RUN","PG-13","Comedy","2007","1h40m","47","64"
"107","CLOSING ESCROW","PG","Comedy","2007","1h35m","54","36"
"108","WHITEOUT","R","Action & Adventure, Drama, Mystery & Suspense","2009","1h41m","7","21"
"109","RANDY AND THE MOB","PG","Comedy, Documentary","2007","1h39m","56","39"
"110","BLACK IRISH","R","Drama","2007","1h34m","31","58"
"111","WILD CHILD","PG-13","Comedy","2008","1h38m","41","61"
"112","POWDER BLUE","R","Drama","2009","1h48m","25","40"
"113","KING CORN","NR","Documentary, Musical & Performing Arts, Special Interest","2007","1h30m","96","78"
"114","L' AVOCAT DE LA TERREUR (TERROR'S ADVOCATE)","R","Art House & International, Documentary, Special Interest","2007","2h18m","87","67"
"115","DARFUR NOW","PG","Documentary, Drama, Musical & Performing Arts, Special Interest","2007","1h39m","73","73"
"116","LAAGA CHUNARI MEIN DAAG - JOURNEY OF A WOMAN","NR","Art House & International, Drama","2007","2h18m","50","58"
"117","RAILS & TIES","PG-13","Drama","2007","1h41m","34","58"
"118","MR. UNTOUCHABLE","R","Documentary","2007","1h32m","73","54"
"119","HOUSE","R","Drama, Horror, Mystery & Suspense","2008","1h28m","0","27"
"120","CANVAS","PG-13","Drama","2007","1h41m","78","62"
"121","SKID ROW","R","Documentary, Special Interest","2007","1h20m","83","55"
"122","SAAWARIYA","PG","Art House & International, Drama, Musical & Performing Arts, Romance","2007","2h26m","38","46"
"123","AAJA NACHLE","NR","Art House & International, Drama, Musical & Performing Arts, Romance","2007","2h27m","67","72"
"124","FLAWLESS","PG-13","Drama, Mystery & Suspense","2008","1h46m","55","54"
"125","WHAT HAPPENS IN VEGAS","PG-13","Comedy, Romance","2008","1h39m","26","65"
"126","APPALOOSA","R","Action & Adventure, Western","2008","1h56m","76","55"
"127","GOOD","R","Drama","2008","1h36m","32","32"
"128","THE VISITOR","PG-13","Drama","2008","1h43m","89","84"
"129","MEET BILL","R","Comedy","2008","1h32m","20","44"
"130","MARRIED LIFE","PG-13","Comedy, Drama, Mystery & Suspense, Romance","2008","1h30m","54","36"
"131","BADLAND","R","Drama","2007","2h45m","16","54"
"132","THE OXFORD MURDERS","R","Art House & International, Drama, Horror, Mystery & Suspense","2010","1h50m","17","33"
"133","UNTRACEABLE","R","Drama, Horror, Mystery & Suspense","2008","1h41m","16","52"
"134","THE INFORMERS","R","Drama, Mystery & Suspense","2009","1h38m","12","18"
"135","MEETING RESISTANCE","NR","Documentary, Special Interest","2007","1h24m","82","47"
"136","THE FRESHMAN","PG","Comedy, Drama","1990","1h42m","94","61"
"137","GUTA-YUBALJA-DEUL (A BLOODY ARIA)","NR","Art House & International, Drama, Mystery & Suspense","2006","1h55m","42","40"
"138","KENNY","PG-13","Comedy","2008","1h40m","100","86"
"139","THE ROCKER","PG-13","Comedy, Drama","2008","1h42m","41","46"
"140","THE PERFECT HOLIDAY","PG-13","Kids & Family, Romance","2007","1h36m","19","52"
"141","LA GRAINE ET LE MULET (THE SECRET OF THE GRAIN) (COUSCOUS)","NR","Art House & International, Drama","2007","2h31m","93","76"
"142","LAND OF THE LOST","PG-13","Action & Adventure, Comedy, Science Fiction & Fantasy","2009","1h42m","26","32"
"143","[REC]","R","Art House & International, Horror, Special Interest","2007","1h18m","89","82"
"144","LOOK","R","Comedy, Drama","2007","1h38m","60","56"
"145","AND GOD CREATED WOMAN","R","Classics, Comedy, Drama, Romance","1988","1h38m","38","33"
"146","THE BOX","PG-13","Horror, Mystery & Suspense, Science Fiction & Fantasy","2009","1h53m","44","24"
"147","MAN IN THE CHAIR","PG-13","Comedy, Drama","2007","1h49m","50","68"
"148","UNDOING","R","Drama, Mystery & Suspense","2006","1h30m","31","26"
"149","BLACK WATER","R","Horror, Mystery & Suspense","2008","1h30m","80","39"
"150","21","PG-13","Drama, Mystery & Suspense","2008","2h2m","35","66"
"151","THE DUCHESS OF LANGEAIS (NE TOUCHEZ PAS LA HACHE)(DON'T TOUCH THE AXE)","NR","Art House & International, Drama, Romance","2007","2h17m","70","52"
"152","BEN X","NR","Art House & International, Drama, Mystery & Suspense","2007","1h33m","68","80"
"153","BODY OF LIES","R","Drama, Mystery & Suspense","2008","2h8m","55","62"
"154","PASSENGERS","PG-13","Drama, Mystery & Suspense","2008","1h32m","19","35"
"155","THE GRAND","R","Comedy","2008","1h44m","40","43"
"156","THE HAMMER","R","Comedy","2007","1h33m","80","90"
"157","SHUTTER","PG-13","Horror, Mystery & Suspense","2008","1h25m","9","33"
"158","PRIEST","PG-13","Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western","2011","1h27m","15","46"
"159","THE BROKEN","R","Horror, Mystery & Suspense",NA,"1h28m","49","25"
"160","THE ESCAPIST","R","Art House & International, Mystery & Suspense","2008","1h43m","64","63"
"161","SUGAR","R","Drama, Sports & Fitness","2008","1h58m","92","80"
"162","QUID PRO QUO","R","Drama, Mystery & Suspense","2008","1h21m","61","54"
"163","RED","R","Drama, Mystery & Suspense","2008","1h35m","70","68"
"164","THE GUITAR","R","Drama","2008","1h35m","33","55"
"165","THE ROAD","R","Drama, Mystery & Suspense, Science Fiction & Fantasy","2009","1h50m","73","68"
"166","G-FORCE","PG","Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy","2009","1h28m","22","39"
"167","THE OTHER MAN","R","Drama","2008","1h30m","15","18"
"168","THE DUCHESS","PG-13","Drama","2008","1h49m","62","67"
"169","THE WOMEN","PG-13","Comedy, Drama","2008","1h54m","14","38"
"170","PUBLIC ENEMIES","R","Action & Adventure, Drama","2009","2h20m","68","59"
"171","NIGHT AND DAY (BAM GUA NAT)","NR","Art House & International, Drama","2009","","93","68"
"172","JULIA","R","Art House & International, Drama, Mystery & Suspense","2009","2h24m","72","67"
"173","ANGEL AND THE BADMAN","PG","Classics, Western, Romance","1947","1h40m","71","67"
"174","FADE TO BLACK","R","Mystery & Suspense","2006","1h45m","29","34"
"175","ANGEL HEART","R","Drama, Mystery & Suspense","1987","1h53m","79","81"
"176","OLD DOGS","PG","Comedy, Drama, Kids & Family","2009","1h28m","5","44"
"177","SURROGATES","PG-13","Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy","2009","1h28m","37","38"
"178","THE PROMOTION","R","Comedy","2008","1h26m","53","28"
"179","NOTORIOUS","R","Drama, Musical & Performing Arts","2009","2h2m","52","65"
"180","SOUL MEN","R","Comedy, Musical & Performing Arts","2008","1h40m","46","58"
"181","IGOR","PG","Animation, Comedy, Kids & Family","2008","1h26m","39","38"
"182","THE MATADOR","NR","Documentary, Special Interest","2008","1h15m","73","65"
"183","THE AUTEUR","NR","Comedy","2008","1h20m","67","41"
"184","THE CALLER","PG-13","Drama, Mystery & Suspense","2008","1h35m","13","19"
"185","SIN NOMBRE","R","Drama, Mystery & Suspense","2009","1h36m","88","89"
"186","DAS HAUS DER SCHLAFENDEN SCHÖNEN (HOUSE OF THE SLEEPING BEAUTIES)","NR","Art House & International, Drama","2008","1h39m","28","17"
"187","THE STONE ANGEL","R","Drama","2007","1h55m","44","58"
"188","ALVIN AND THE CHIPMUNKS: THE SQUEAKQUEL","PG","Animation, Comedy, Kids & Family","2009","1h29m","20","49"
"189","UN CONTE DE NOËL (A CHRISTMAS TALE)","NR","Art House & International, Comedy, Drama","2008","2h30m","86","66"
"190","THE REBOUND","R","Comedy, Romance","2009","1h37m","41","46"
"191","RIPPLE EFFECT","R","Drama","2008","1h23m","29",NA
"192","1,000 TIMES GOOD NIGHT","NR","Drama","2014","1h57m","71","65"
"193","HAROLD","PG-13","Comedy","2008","1h34m","31","41"
"194","PUSH","PG-13","Mystery & Suspense, Science Fiction & Fantasy","2009","1h51m","23","42"
"195","FELON","R","Action & Adventure, Drama, Mystery & Suspense","2008","1h44m","63","82"
"196","SCAR","R","Drama, Horror, Mystery & Suspense","2007","1h18m","0","11"
"197","THE UNBORN","PG-13","Horror, Mystery & Suspense","2009","1h28m","10","30"
"198","BITCH SLAP","R","Action & Adventure","2010","1h44m","29","29"
"199","FOREVER STRONG","PG-13","Drama","2008","1h52m","29","75"
"200","CHOCOLATE","R","Action & Adventure, Art House & International","2008","1h50m","74","73"
"201","FIREPROOF","PG","Drama","2008","2h2m","38","82"
"202","DOSTANA","R","Art House & International, Comedy","2008","2h25m","87","68"
"203","THE GARDEN","NR","Documentary, Special Interest","2008","1h20m","79","85"
"204","SPLINTER","R","Horror, Mystery & Suspense","2008","1h22m","73","49"
"205","LEAVES OF GRASS","R","Comedy, Drama, Mystery & Suspense","2010","1h44m","61","49"
"206","RAB NE BANA DI JODI (A COUPLE MADE BY GOD) (A MATCH MADE IN HEAVEN)","NR","Romance","2008","1h36m","78","71"
"207","THE PROPOSAL","PG-13","Comedy, Romance","2009","1h48m","45","67"
"208","GIGANTIC","R","Comedy, Romance","2009","1h39m","36","34"
"209","FUEL","NR","Documentary, Special Interest","2008","1h51m","72","82"
"210","HUSH","NR","Mystery & Suspense","2009","1h31m","50","37"
"211","ANNA KARENINA","NR","Classics, Drama, Romance","1935","1h35m","93","69"
"212","ORPHAN","R","Drama, Horror, Mystery & Suspense","2009","2h3m","56","63"
"213","MY SISTER'S KEEPER","PG-13","Drama","2009","1h48m","48","72"
"214","THE HANGOVER","R","Comedy","2009","1h39m","78","84"
"215","THE STEPFATHER","PG-13","Horror, Mystery & Suspense","2009","1h41m","11","35"
"216","OKURIBITO (DEPARTURES)","PG-13","Art House & International, Drama","2009","2h10m","80","92"
"217","BOOGIE (SUMMER HOLIDAY)","NR","Comedy, Drama","2008","1h42m","100","67"
"218","PRIMA BALLERINA","NR","Art House & International, Special Interest","2009","","81","100"
"219","SEASON OF THE WITCH","PG-13","Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy","2011","1h35m","11","30"
"220","SHUTTLE","R","Mystery & Suspense","2009","1h46m","50","36"
"221","MISS MARCH","R","Comedy","2009","1h29m","5","29"
"222","AN AMERICAN AFFAIR","R","Drama, Mystery & Suspense","2009","1h33m","16","41"
"223","GRACE","R","Drama, Horror","2009","1h34m","71","31"
"224","ENDGAME","PG-13","Drama, Mystery & Suspense","2009","1h49m","71","57"
"225","THE RED BARON (DER ROTE BARON)","PG-13","Action & Adventure, Drama, Romance","2008","1h46m","20","43"
"226","THE OBJECTIVE","NR","Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy","2008","1h30m","33","32"
"227","HAPPY TEARS","R","Comedy, Drama","2010","1h36m","27","21"
"228","THE MISSING PERSON","NR","Comedy, Drama, Mystery & Suspense","2009","1h35m","64","44"
"229","POLANSKI (POLANSKI UNAUTHORIZED)","NR","Art House & International, Drama","2009","1h29m","0","38"
"230","MAMMOTH (MAMMUT)","R","Art House & International, Drama","2009","2h5m","45","63"
"231","CRUDE","NR","Documentary, Special Interest","2009","1h44m","95","85"
"232","THE MESSENGER","R","Drama, Romance","2009","1h52m","90","75"
"233","LAKE MUNGO","R","Horror, Mystery & Suspense","2009","1h29m","95","62"
"234","VENKOVSKÝ UCITEL (THE COUNTRY TEACHER)","NR","Art House & International, Drama","2008","1h55m","81","72"
"235","THE APARTMENT","NR","Classics, Comedy, Drama, Romance","1960","2h5m","93","94"
"236","CHATHAM (THE GOLDEN BOYS)","PG","Comedy, Romance","2009","1h37m","28","22"
"237","THE APE","NR","Classics, Drama, Horror, Science Fiction & Fantasy","1940","1h2m","43","12"
"238","FAME","PG","Drama, Musical & Performing Arts, Romance","2009","1h47m","24","36"
"239","OUTRAGE","R","Documentary","2009","1h30m","77","76"
"240","SKIN","PG-13","Art House & International, Drama, Mystery & Suspense","2009","1h47m","84","79"
"241","HELEN","PG","Drama","2008","1h19m","67","36"
"242","BAKJWI (THIRST)","R","Art House & International, Drama, Horror","2009","2h13m","81","75"
"243","VENGEANCE (FUK SAU)","R","Action & Adventure, Art House & International, Mystery & Suspense","2010","1h48m","91","60"
"244","NEW WORLD ORDER","NR","Documentary, Special Interest","2009","1h25m","56","48"
"245","APRIL FOOL'S DAY","R","Horror","1986","1h29m","50","47"
"246","BLOOD: THE LAST VAMPIRE","R","Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy","2009","1h29m","25","33"
"247","SHRINK","R","Comedy, Drama","2009","1h44m","27","50"
"248","ONG BAK 2","R","Action & Adventure, Art House & International","2009","1h37m","48","53"
"249","BANANAS!","NR","Art House & International, Documentary, Special Interest","2009","1h27m","86","44"
"250","LAST RIDE","PG-13","Drama","2012","1h40m","93","65"
"251","TRON LEGACY","PG","Action & Adventure, Science Fiction & Fantasy","2010","2h5m","51","63"
"252","THE CANYON","R","Drama, Mystery & Suspense","2009","1h42m","27","32"
"253","MANSON, MY NAME IS EVIL","R","Comedy, Drama, Science Fiction & Fantasy","2009","1h25m","67","27"
"254","BROKEN HILL","PG","Drama, Kids & Family","2009","1h42m","50","61"
"255","A BEAUTIFUL LIFE","NR","Drama","2009","1h21m","0","24"
"256","SUCK","R","Comedy, Horror, Musical & Performing Arts","2010","1h31m","50","53"
"257","CHLOE","R","Drama, Mystery & Suspense","2010","1h36m","51","39"
"258","ARMED AND DANGEROUS","PG-13","Comedy","1986","1h28m","10","39"
"259","THE HOLE","PG-13","Kids & Family, Mystery & Suspense, Science Fiction & Fantasy","2012","1h32m","81","46"
"260","NOBODY'S PERFECT","NR","Art House & International, Documentary, Drama, Special Interest, Sports & Fitness","2008","1h24m","73","87"
"261","THE GOOD SOLDIER","NR","Documentary, Drama, Special Interest, Television","2009","1h19m","75","80"
"262","HIGH LIFE","R","Comedy","2009","1h20m","80","43"
"263","AROUND THE WORLD IN 80 DAYS","G","Action & Adventure, Comedy, Drama, Kids & Family","1956","2h50m","69","57"
"264","THE FALL","R","Drama, Mystery & Suspense","2009","1h55m","20",NA
"265","THE GOOD HEART","R","Drama","2010","1h38m","30","58"
"266","WONDERFUL WORLD","R","Drama, Romance","2010","1h35m","42","33"
"267","COLLAPSE","NR","Documentary, Special Interest","2009","1h20m","83","83"
"268","THREE BLIND MICE","PG","Comedy, Drama",NA,"1h34m","80","50"
"269","THE LAST SONG","PG","Drama, Kids & Family, Romance","2010","1h48m","21","66"
"270","BABIES","PG","Documentary, Special Interest","2010","1h19m","68","62"
"271","LOTTERY TICKET","PG-13","Comedy","2010","1h35m","34","44"
"272","GOING THE DISTANCE","R","Comedy, Romance","2010","1h38m","54","52"
"273","LIFE AS WE KNOW IT","PG-13","Comedy, Drama","2010","1h53m","29","61"
"274","THE FINAL","R","Drama, Horror, Mystery & Suspense","2010","","13","32"
"275","FROZEN","R","Drama, Horror, Mystery & Suspense","2010","1h33m","63","46"
"276","PRODIGAL SONS","PG","Documentary, Special Interest","2010","1h26m","87","79"
"277","THE GHOST WRITER","PG-13","Drama, Mystery & Suspense","2010","2h9m","84","70"
"278","REPO MEN","R","Action & Adventure, Science Fiction & Fantasy","2010","1h51m","22","41"
"279","7 DAYS (LES 7 JOURS DU TALION)","R","Art House & International, Horror, Mystery & Suspense","2010","1h45m","80","68"
"280","DADDY LONGLEGS","NR","Comedy, Drama","2010","","78","52"
"281","VEER","NR","Art House & International, Classics, Drama","2010","2h36m","40","47"
"282","WINTER'S BONE","R","Drama","2010","1h39m","94","76"
"283","THE KIDS ARE ALL RIGHT","R","Comedy, Drama","2010","1h44m","92","74"
"284","LUCKY","R","Documentary, Special Interest","2010","1h30m","60","39"
"285","HIGH SCHOOL","R","Comedy","2012","1h39m","28","48"
"286","STOLEN","R","Drama, Mystery & Suspense","2010","1h37m","0","39"
"287","THE KILLING JAR","R","Drama, Mystery & Suspense","2010","1h30m","0","36"
"288","LA MISSION","R","Drama","2010","1h57m","50","72"
"289","PREDATORS","R","Action & Adventure, Horror, Science Fiction & Fantasy","2010","1h47m","64","52"
"290","STONEWALL UPRISING","PG-13","Documentary, Special Interest","2010","1h22m","84","76"
"291","THE OATH","NR","Documentary, Special Interest","2010","1h30m","91","79"
"292","THE WILD HUNT","NR","Drama, Mystery & Suspense, Science Fiction & Fantasy","2010","1h36m","82","74"
"293","ARTHUR","PG","Comedy, Romance","1981","1h37m","88","77"
"294","THE LOTTERY","PG","Documentary, Special Interest","2010","1h21m","64","76"
"295","ASSAULT ON PRECINCT 13","R","Action & Adventure, Drama, Mystery & Suspense","1976","1h31m","98","80"
"296","ASYLUM","PG","Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance","1972","1h28m","67","48"
"297","ATTACK OF THE 50 FOOT WOMAN","PG","Classics, Science Fiction & Fantasy","1958","1h6m","75","20"
"298","AVENGING ANGEL","R","Action & Adventure, Drama, Mystery & Suspense",NA,"1h33m","33","25"
"299","THE AVIATOR","PG","Action & Adventure, Drama","1985","1h38m","20","41"
"300","THE AWAKENING","R","Horror, Mystery & Suspense","1980","1h42m","0","22"
"301","BABES IN TOYLAND","G","Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance","1961","1h46m","36","59"
"302","BAD COMPANY","PG","Action & Adventure, Drama, Western","1972","1h33m","92","71"
"303","THE BAD NEWS BEARS","PG","Classics, Comedy","1976","1h42m","97","80"
"304","THE BAD SEED","NR","Classics, Drama, Horror, Mystery & Suspense","1956","2h9m","63","83"
"305","BANG THE DRUM SLOWLY","PG","Classics, Comedy, Drama, Sports & Fitness","1973","1h36m","92","62"
"306","BATTLEGROUND","NR","Action & Adventure, Classics, Drama","1949","1h58m","75","82"
"307","BEAUTY AND THE BEAST (LA BELLE ET LA BÊTE)","NR","Drama, Science Fiction & Fantasy, Romance","1946","1h35m","95","90"
"308","THE BELLES OF ST. TRINIAN'S","NR","Action & Adventure, Classics, Comedy",NA,"1h31m","67","70"
"309","1001 GRAMS","NR","Drama","2015","1h33m","82","48"
"310","THE BEST OF TIMES","PG-13","Comedy, Drama","1986","1h44m","31","43"
"311","BETRAYED","R","Action & Adventure, Drama, Mystery & Suspense","1988","2h7m","42","52"
"312","THE BIG BRAWL (BATTLE CREEK BRAWL)","R","Action & Adventure, Comedy","1980","1h35m","67","44"
"313","BIG BUSINESS","PG","Comedy","1988","1h37m","44","69"
"314","THE BIG HEAT","PG","Classics, Drama, Mystery & Suspense",NA,"1h30m","100","90"
"315","THE BIG SLEEP","PG","Classics, Drama, Mystery & Suspense","1946","1h54m","97","91"
