"","movie_name","rating","types","year","duration","audience_rating","expert_rating"
"14203","THE TAILOR OF PANAMA","R","Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense","2001","1h49m","77","46"
"14204","TAKE EVERY WAVE: THE LIFE OF LAIRD HAMILTON","NR","Documentary","2017","1h58m","77","78"
"14205","TAKE ME HOME TONIGHT","R","Comedy, Drama","2011","1h29m","28","42"
"14206","TAKE ME OUT TO THE BALL GAME","NR","Classics, Comedy, Drama, Musical & Performing Arts","1949","1h33m","93","70"
"14207","TAKE ME TO THE RIVER","PG","Documentary, Musical & Performing Arts","2014","1h37m","74","60"
"14208","TAKE ME TO THE RIVER","NR","Drama","2016","1h24m","74","42"
"14209","TAKE SHELTER","R","Drama, Mystery & Suspense","2011","2h4m","92","81"
"14210","TAKE THE LEAD","PG-13","Drama, Musical & Performing Arts","2006","1h57m","44","77"
"14211","TAKE THIS WALTZ","R","Comedy, Drama, Romance","2012","1h56m","79","58"
"14212","TAKE YOUR PILLS","NR","Documentary","2018","1h27m","62","51"
"14213","TAKEN","PG-13","Action & Adventure, Mystery & Suspense","2009","1h31m","58","85"
"14214","TAKEN 2","PG-13","Mystery & Suspense","2012","1h32m","22","52"
"14215","TAKEN 3","PG-13","Action & Adventure","2015","1h49m","13","44"
"14216","TAKERS","PG-13","Action & Adventure, Drama","2010","1h47m","28","62"
"14217","TAKING CARE OF BUSINESS","R","Comedy, Drama","1990","1h43m","29","52"
"14218","TAKING CHANCE","PG","Drama","2009","1h18m","57","83"
"14219","TAKING LIVES","R","Action & Adventure, Drama, Mystery & Suspense","2004","1h43m","22","55"
"14220","TAKING SIDES: LE CAS FURTWÄNGLER","NR","Drama","2003","","73","72"
"14221","TAKING WOODSTOCK","R","Comedy, Drama, Musical & Performing Arts","2009","2h0m","48","47"
"14222","TALAASH","NR","Drama, Mystery & Suspense","2012","2h19m","81","64"
"14223","THE TALE OF DESPEREAUX","G","Action & Adventure, Animation, Comedy, Kids & Family","2008","1h34m","57","44"
"14224","TALE OF TALES (IL RACCONTO DEI RACCONTI)","R","Horror, Science Fiction & Fantasy","2016","2h5m","83","57"
"14225","THE TALENT GIVEN US","NR","Comedy","2004","1h38m","59","46"
"14226","THE TALENTED MR. RIPLEY","R","Drama, Mystery & Suspense","1999","2h19m","83","80"
"14227","TALES FROM THE CRYPT PRESENTS BORDELLO OF BLOOD","R","Comedy, Horror","1996","1h27m","15","31"
"14228","TALES FROM THE CRYPT PRESENTS: DEMON KNIGHT","R","Comedy, Horror","1995","1h32m","36","64"
"14229","TALES FROM THE DARKSIDE: THE MOVIE","R","Horror","1990","1h33m","43","44"
"14230","TALES FROM THE GOLDEN AGE","G","Art House & International, Comedy","2011","2h35m","91","78"
"14231","TALES FROM THE HOOD","R","Horror","1995","1h37m","47","68"
"14232","TALES FROM THE HOOD 2","R","Horror",NA,"1h51m","75","27"
"14233","TALES FROM THE SCRIPT","NR","Documentary, Special Interest, Television","2010","1h56m","75","71"
"14234","TALES OF THE NIGHT","NR","Animation, Science Fiction & Fantasy","2012","1h24m","80","62"
"14235","TALIHINA SKY: THE STORY OF KINGS OF LEON","NR","Documentary, Musical & Performing Arts",NA,"1h27m","57","68"
"14236","THE TALK OF THE TOWN","NR","Classics, Comedy, Drama","1942","1h58m","94","84"
"14237","TALK RADIO","R","Art House & International, Drama, Mystery & Suspense","1988","1h50m","82","81"
"14238","TALK TO HER","R","Art House & International, Drama, Romance","2002","1h52m","92","93"
"14239","TALK TO ME","R","Action & Adventure, Comedy, Drama","2007","1h58m","82","77"
"14240","LE GRAND BLOND AVEC UNE CHAUSSURE NOIRE (THE TALL BLOND MAN WITH ONE BLACK SHOE)","PG","Art House & International, Comedy, Mystery & Suspense","1973","1h30m","67","80"
"14241","TALL GIRL","NR","Comedy, Drama",NA,"",NA,NA
"14242","THE TALL T","NR","Classics, Western","1957","1h18m","100","83"
"14243","TALL TALE","PG","Action & Adventure, Kids & Family, Science Fiction & Fantasy, Western","1995","1h36m","50","52"
"14244","TALLADEGA NIGHTS: THE BALLAD OF RICKY BOBBY","PG-13","Action & Adventure, Comedy, Sports & Fitness","2006","1h50m","71","73"
"14245","TALLULAH","NR","Drama","2016","1h51m","85","69"
"14246","TAMARA","R","Horror","2006","1h31m","32","38"
"14247","TAMARA DREWE","R","Art House & International, Comedy, Drama","2010","1h50m","65","42"
"14248","TAMMY","R","Comedy","2014","1h37m","24","36"
"14249","TAMMY'S ALWAYS DYING","NR","Comedy, Drama",NA,"1h25m","75","98"
"14250","TAMPOPO","NR","Art House & International, Comedy","1985","1h54m","100","93"
"14251","TANGERINE","R","Comedy, Drama","2015","1h27m","96","76"
"14252","TANGERINES","R","Drama","2015","1h23m","88","89"
"14253","TANGLED","PG","Animation, Comedy, Kids & Family, Musical & Performing Arts","2010","1h41m","89","87"
"14254","TANGO & CASH","R","Action & Adventure, Comedy, Drama","1989","1h44m","30","52"
"14255","THE TANGO LESSON","PG","Art House & International, Comedy, Drama, Musical & Performing Arts, Romance","1997","1h42m","53","78"
"14256","TANK GIRL","R","Action & Adventure, Comedy, Science Fiction & Fantasy","1995","1h44m","40","63"
"14257","TANNA","NR","Art House & International, Drama, Romance","2016","1h44m","92","76"
"14258","TANNER HALL","R","Drama","2011","1h35m","16","26"
"14259","THE TAO OF STEVE","R","Art House & International, Comedy, Drama, Romance","2000","1h28m","80","69"
"14260","TAP","PG-13","Drama, Musical & Performing Arts","1989","1h50m","50","69"
"14261","TAP WORLD","NR","Documentary, Musical & Performing Arts","2015","1h12m","86","59"
"14262","TAPE","R","Drama","2001","1h23m","77","76"
