"","movie_name","rating","year","types","duration","audience_rating","expert_rating"
"1","HARRY POTTER 20TH ANNIVERSARY: RETURN TO HOGWARTS","","2022"," Documentary/Fantasy"," 1h 45m","87","93"
"2","BOILING POINT","R","2021"," Drama/Mystery & thriller"," 1h 32m","85","99"
"3","THE 355","PG-13","2022"," Action/Mystery & thriller"," 2h 2m","86","24"
"4","THE TENDER BAR","R","2021"," Comedy/Drama"," 1h 46m","68","51"
"5","SCREAM","R","2022"," Horror/Mystery & thriller"," 1h 54m","81","76"
"6","BELLE","PG","2021"," Fantasy/Adventure"," 2h 1m","95","95"
"7","HOTEL TRANSYLVANIA: TRANSFORMANIA","PG","2022"," Kids & family/Comedy"," 1h 28m","45","49"
"8","THE ROYAL TREATMENT","","2022"," Romance/Comedy"," 1h 36m","35","35"
"9","DEATH OF A TELEMARKETER","R","2020"," Comedy/Drama"," 1h 28m","40","27"
"10","JACKASS FOREVER","R","2022"," Comedy"," 1h 36m","91","85"
"11","BRIAN WILSON: LONG PROMISED ROAD","","2021"," Documentary/Music"," 1h 33m","81","89"
"12","MOONFALL","PG-13","2022"," Sci-fi/Action"," 2h 10m","70","36"
"13","THROUGH MY WINDOW","","2022"," Romance/Comedy"," 1h 30m","29",""
"14","CATWOMAN: HUNTED","","2022"," Fantasy/Animation"," 1h 19m","51","78"
"15","MISS WILLOUGHBY AND THE HAUNTED BOOKSHOP","PG","2021"," Adventure/Mystery & thriller"," 1h 20m","60",""
"16","RUMBLE","PG","2021"," Kids & family/Comedy"," 1h 44m","48","44"
"17","KIMI","R","2022"," Mystery & thriller"," 1h 29m","52","92"
"18","WYRMWOOD: APOCALYPSE","","2021"," Horror/Action"," 1h 28m","47","87"
"19","DOG","","2001"," Drama"," 10m","",""
"20","THE TEXAS CHAINSAW MASSACRE","R","2003"," Horror"," 1h 35m","58","37"
"21","UNCHARTED","","2009"," Horror"," 1h 18m","17",""
"22","WOLF","R","2021"," Drama"," 1h 39m","67","45"
"23","HELLBENDER","","2021"," Horror"," 1h 26m","56","97"
"24","STUDIO 666","R","2022"," Horror/Comedy"," 1h 48m","80","56"
"25","FRESH","R","1994"," Drama"," 1h 52m","91","88"
"26","THE BATMAN","PG-13","2022"," Action/Adventure"," 2h 56m","87","85"
"27","TURNING RED","PG","2022"," Kids & family/Comedy"," 1h 40m","71","95"
"28","SPEAK NO EVIL","R","2013"," Horror"," 1h 14m","7",""
"29","UMMA","PG-13","2022"," Horror/Mystery & thriller"," 1h 23m","51","32"
"30","X","","2021"," Mystery & thriller/Lgbtq+"," 2h 7m","",""
"31","NEW WORLDS: THE CRADLE OF CIVILIZATION","","2021"," Documentary/Music"," 1h 42m","","100"
"32","EVERYTHING EVERYWHERE ALL AT ONCE","R","2022"," Comedy/Adventure"," 2h 12m","89","95"
"33","RRR","","2022"," Action/Drama"," 3h 7m","94","94"
"34","ERASER: REBORN","R","2022"," Action"," 1h 42m","15",""
"35","MORBIUS","PG-13","2022"," Action/Fantasy"," 1h 44m","71","16"
"36","LUCK","","2003"," Drama"," 1h 31m","38","43"
"37","AMBULANCE","R","2022"," Action/Mystery & thriller"," 2h 16m","88","68"
"38","METAL LORDS","R","2022"," Comedy/Music"," 1h 38m","79","63"
"39","CHARIOT","","2013"," Drama/Mystery & thriller"," 1h 27m","28",""
"40","CHOOSE OR DIE","","2022"," Horror/Mystery & thriller"," 1h 25m","24","30"
"41","FATHER STU","R","2022"," Biography/Drama"," 2h 4m","95","41"
"42","THE BAD GUYS","","2018"," Comedy/Drama"," 1h 30m","",""
"43","THE NORTHMAN","R","2022"," Adventure/Action"," 2h 17m","64","89"
"44","THE UNBEARABLE WEIGHT OF MASSIVE TALENT","R","2022"," Comedy/Action"," 1h 46m","87","87"
"45","CORRECTIVE MEASURES","","2022"," Action/Sci-fi"," 1h 46m","38","60"
"46","FAUNUTLAND AND THE LOST MAGIC","","2020"," Fantasy"," 1h 22m","",""
"47","THE AVIARY","","2005"," Drama"," 1h 28m","71",""
"48","THE LEGEND OF MOLLY JOHNSON","","2021"," Drama/Western"," 1h 49m","64","80"
"49","DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS","PG-13","2022"," Action/Adventure"," 2h 6m","85","74"
"50","THE RAVINE","","1970"," Drama"," 1h 37m","",""
"51","SHEPHERD","R","1999"," Action"," 1h 34m","20",""
"52","SHIN ULTRAMAN","","2022"," Sci-fi/Action"," 1h 52m","","100"
"53","DOWNTON ABBEY: A NEW ERA","PG","2022"," Drama"," 2h 5m","97","86"
"54","TOP GUN: MAVERICK","PG-13","2022"," Action/Adventure"," 2h 11m","99","96"
"55","CRIMES OF THE FUTURE","R","2022"," Horror/Sci-fi"," 1h 47m","50","80"
"56","TERROR ON THE PRAIRIE","","2022"," Western/Action"," 1h 47m","84","83"
"57","HUSTLE","R","2022"," Drama"," 1h 58m","93","93"
"58","JURASSIC WORLD DOMINION","PG-13","2022"," Action/Adventure"," 2h 27m","77","29"
"59","MAD GOD","","2021"," Horror/Fantasy"," 1h 23m","68","91"
"60","LIGHTYEAR","PG","2022"," Kids & family/Comedy"," 1h 40m","84","74"
"61","MARCEL THE SHELL WITH SHOES ON","PG","2021"," Kids & family/Comedy"," 1h 29m","91","99"
"62","THE BLACK PHONE","R","2021"," Horror/Mystery & thriller"," 1h 42m","88","83"
"63","THE MAN FROM TORONTO","","1933"," Comedy"," 1h 17m","",""
"64","SHOTGUN WEDDING","R","2023"," Romance/Comedy"," 1h 40m","",""
"65","CODE NAME BANSHEE","","2022"," Action/Drama"," 1h 33m","50","0"
"66","MR. MALCOLM'S LIST","PG","2022"," Romance/Comedy"," 1h 57m","82","82"
"67","MINIONS: THE RISE OF GRU","PG","2022"," Kids & family/Comedy"," 1h 27m","89","70"
"68","THOR: LOVE AND THUNDER","PG-13","2022"," Action/Adventure"," 2h 5m","77","64"
"69","MRS. HARRIS GOES TO PARIS","PG","2022"," Comedy/Drama"," 1h 55m","93","94"
"70","WHERE THE CRAWDADS SING","PG-13","2022"," Drama/Mystery & thriller"," 2h 5m","96","34"
"71","ANYTHING'S POSSIBLE","","2013"," Comedy/Drama"," 1h 27m","",""
"72","NOPE","R","2022"," Sci-fi/Horror"," 2h 15m","68","83"
"73","DC LEAGUE OF SUPER-PETS","PG","2022"," Kids & family/Comedy"," 1h 46m","88","73"
"74","THE COW","","1994"," Drama"," 1h 32m","",""
"75","WEDDING SEASON","","2022"," Romance/Comedy"," 1h 37m","69","87"
"76","BODIES BODIES BODIES","R","2022"," Mystery & thriller/Horror"," 1h 35m","69","86"
"77","THE CARTER","","2009"," Documentary/Music"," 1h 15m","76",""
"78","THIRTEEN LIVES","PG-13","2022"," Drama"," 2h 22m","94","86"
"79","LAAL SINGH CHADDHA","PG-13","2022"," Comedy/Drama"," 2h 39m","91","65"
"80","EMILY THE CRIMINAL","R","2022"," Crime/Drama"," 1h 37m","79","94"
"81","FALL","PG-13","2022"," Mystery & thriller"," 1h 47m","79","79"
"82","I LOVE MY DAD","R","2022"," Comedy/Drama"," 1h 36m","83","73"
"83","SECRET HEADQUARTERS","PG","2022"," Kids & family/Action"," 1h 44m","45","46"
"84","DRAGON BALL SUPER: SUPER HERO","PG-13","2022"," Action/Adventure"," 1h 40m","95","93"
"85","GLORIOUS","","2016"," Biography/Crime"," 1h 36m","",""
"86","BEAST","R","2022"," Mystery & thriller/Adventure"," 1h 33m","77","68"
"87","ORPHAN: FIRST KILL","R","2022"," Horror/Mystery & thriller"," 1h 39m","77","72"
"88","SPIN ME ROUND","","2022"," Romance/Comedy"," 1h 44m","38","47"
"89","SAMARITAN","","2008"," Mystery & thriller"," 50m","",""
"90","THE INVITATION","","2022"," Documentary"," 1h 18m","",""
"91","MY SON HUNTER","","2022"," Biography/Comedy"," 1h 35m","90","67"
"92","THE BARBARIAN","","1921"," Drama"," 52m","",""
"93","BRAHMĀSTRA PART ONE: SHIVA","","2022"," Fantasy/Adventure"," 2h 47m","69","52"
"94","HOUSE OF DARKNESS","","1948"," Mystery & thriller/Horror"," 1h 17m","",""
"95","CONFESS, FLETCH","R","2022"," Comedy/Mystery & thriller"," 1h 38m","75","86"
"96","DO REVENGE","","2022"," Comedy/Mystery & thriller"," 1h 58m","76","84"
"97","MOONAGE DAYDREAM","PG-13","2022"," Documentary/Music"," 2h 14m","76","92"
"98","PEARL","","2018"," Mystery & thriller"," 1h 1m","",""
"99","SEE HOW THEY RUN","PG-13","2022"," Mystery & thriller/Comedy"," 1h 38m","69","75"
"100","THE WOMAN KING","PG-13","2022"," Action/Adventure"," 2h 15m","99","94"
"101","BANDIT","R","2022"," Crime/Drama"," 2h 6m","81","74"
"102","RAILWAY CHILDREN","PG","2022"," Drama/War"," 1h 38m","92","55"
"103","BROS","R","2022"," Romance/Comedy"," 1h 55m","90","89"
"104","HOCUS POCUS 2","PG","2022"," Kids & family/Holiday"," 1h 43m","50","64"
"105","SMILE","","2018"," Sci-fi"," 14m","",""
"106","MR. HARRIGAN'S PHONE","PG-13","2022"," Horror"," 1h 44m","50","45"
"107","MONSTER HIGH","R","1989"," Sci-fi"," 1h 24m","34",""
"108","AMSTERDAM","","2009"," Drama"," 1h 26m","19",""
"109","BROMATES","R","2022"," Comedy"," 1h 34m","58","0"
"110","HELLRAISER","R","2022"," Horror/Mystery & thriller"," 2h 1m","58","65"
"111","THE STORIED LIFE OF A.J. FIKRY","PG-13","2022"," Comedy/Drama"," 1h 45m","88","35"
"112","WEREWOLF BY NIGHT","","2022"," Fantasy/Action"," 54m","90","90"
"113","DECISION TO LEAVE","","2022"," Mystery & thriller/Crime"," 2h 18m","87","93"
"114","TONIGHT'S THE NIGHT","","1987"," Romance"," 1h 40m","",""
"115","HALLOWEEN ENDS","R","2022"," Holiday/Horror"," 1h 51m","57","40"
"116","THE CURSE OF BRIDGE HOLLOW","","2022"," Kids & family/Holiday"," 1h 29m","55","46"
"117","TILL","PG-13","2022"," Drama"," 2h 10m","97","98"
"118","THE SCHOOL FOR GOOD AND EVIL","PG-13","2022"," Drama/Action"," 2h 29m","66","38"
"119","BLACK ADAM","PG-13","2022"," Action/Adventure"," 2h 5m","88","39"
"120","MY POLICEMAN","R","2022"," Romance/Drama"," 1h 53m","96","46"
"121","THE BANSHEES OF INISHERIN","R","2022"," Comedy"," 1h 49m","76","97"
"122","TICKET TO PARADISE","","1936"," Comedy"," 1h 10m","",""
"123","THE GOOD NURSE","R","2022"," Crime/Drama"," 1h 56m","77","76"
"124","CALL JANE","R","2022"," Drama"," 2h 2m","86","82"
"125","THE LAIR","","2022"," Action/Horror"," 1h 37m","40","38"
"126","CAUSEWAY","R","2022"," Drama"," 1h 32m","74","85"
"127","I'M TOTALLY FINE","","2022"," Comedy/Sci-fi"," 1h 23m","98","67"
"128","BLACK PANTHER: WAKANDA FOREVER","PG-13","2022"," Action/Adventure"," 2h 41m","94","84"
"129","THE FRIENDSHIP GAME","","2022"," Horror/Mystery & thriller"," 1h 27m","17","10"
"130","R.I.P.D. 2: RISE OF THE DAMNED","PG-13","2022"," Action/Comedy"," 1h 43m","24",""
"131","A CHRISTMAS STORY CHRISTMAS","PG","2022"," Kids & family/Holiday"," 1h 41m","76","80"
"132","MICKEY: THE STORY OF A MOUSE","","2022"," Documentary/Biography"," 1h 33m","81","89"
"133","THE MENU","R","2022"," Horror/Mystery & thriller"," 1h 47m","76","89"
"134","SHE SAID","R","2022"," Drama"," 2h 9m","91","87"
"135","BONES AND ALL","R","2022"," Mystery & thriller/Romance"," 2h 10m","61","82"
"136","DEVOTION","","1931"," Romance"," 1h 20m","",""
"137","STRANGE WORLD","PG","2022"," Kids & family/Comedy"," 1h 45m","66","73"
"138","SCROOGE: A CHRISTMAS CAROL","TVY7","2022"," Kids & family/Holiday"," 1h 36m","68","38"
"139","A WOUNDED FAWN","","2022"," Horror/Mystery & thriller"," 1h 31m","66","96"
"140","TROLL","","2022"," Action/Adventure"," 1h 43m","46","89"
"141","DIARY OF A WIMPY KID: RODRICK RULES","PG","2022"," Kids & family/Comedy"," 1h 40m","57","50"
"142","THE ETERNAL DAUGHTER","PG-13","2022"," Mystery & thriller/Drama"," 1h 36m","44","95"
"143","WOMEN TALKING","PG-13","2022"," Drama"," 1h 44m","85","90"
