"","movie_name","rating","year","types","duration","audience_rating","expert_rating"
"144","CHRISTMAS BLOODY CHRISTMAS","","2022"," Holiday/Horror"," 1h 27m","48","76"
"145","EMANNZIPATION","","2011"," Drama"," 1h 55m","86",""
"146","EMPIRE OF LIGHT","R","2022"," Romance/Drama"," 1h 59m","75","44"
"147","HOUSE PARTY","R","2023"," Comedy"," 1h 40m","",""
"148","I AM D.B. COOPER","","2022"," Crime/Drama"," 1h 40m","","22"
"149","THE WHALE","R","2022"," Drama"," 1h 57m","91","66"
"150","THE MEAN ONE","","2022"," Holiday/Horror"," 1h 33m","49","22"
"151","AVATAR: THE WAY OF WATER","PG-13","2022"," Sci-fi/Adventure"," 3h 12m","92","77"
"152","MINDCAGE","R","2022"," Mystery & thriller/Crime"," 1h 36m","65","20"
"153","NANNY","R","2022"," Horror/Mystery & thriller"," 1h 38m","45","89"
"154","WHITNEY HOUSTON: I WANNA DANCE WITH SOMEBODY","PG-13","2022"," Biography/Drama"," 2h 26m","92","45"
"155","GLASS ONION: A KNIVES OUT MYSTERY","PG-13","2022"," Mystery & thriller/Comedy"," 2h 20m","93","93"
"156","BE MY BABY","PG-13","2006"," Romance/Comedy"," 1h 26m","18",""
"157","CLEAR LAKE","","2012"," Drama"," 1h 25m","",""
"158","DADDIO","","2019"," Comedy"," 18m","",""
"159","DETAINED","","1924"," Comedy"," 20m","",""
"160","HEART OF STONE","R","2002"," Mystery & thriller"," 1h 29m","33",""
"161","PAINT","","2020"," Comedy"," 1h 35m","94","92"
"162","PARADISE CITY","","2019"," Drama"," 1h 27m","",""
"163","SCARE PACKAGE II: RAD CHAD'S REVENGE","","2022"," Horror/Comedy"," 1h 38m","94","88"
"164","SHORTCOMINGS","","2010"," Romance/Comedy"," 20m","",""
"165","SNIFF!!!","","2017"," Adventure/Comedy"," 1h 29m","","20"
"166","SPOOKED","","2017"," Mystery & thriller"," 1h 28m","",""
"167","TEEN WOLF: THE MOVIE","","2023"," Action/Comedy"," 1h 17m","",""
"168","TUESDAY","","2008"," Action/Crime"," 1h 19m","28",""
"169","BLACK","","2022"," Action/Mystery & thriller"," 2h 18m","",""
"170","THE BRIDE","PG-13","1985"," Horror"," 1h 58m","33","27"
"171","DEVOLUTION","","2010"," Documentary/History"," 14m","",""
"172","LITTLE AMERICA","","1935"," Documentary/Adventure"," 53m","",""
