"","movie_name","rating","year","types","duration","audience_rating","expert_rating"
"177","SHANG-CHI AND THE LEGEND OF THE TEN RINGS","PG-13","2021"," Action/Adventure"," 2h 13m","98","91"
"178","BITCHIN': THE SOUND AND FURY OF RICK JAMES","","2021"," Documentary/Music"," 1h 51m","55","100"
"179","KAREN","","2020"," Biography/Drama"," 1h 5m","",""
"180","THE GATEWAY","R","2021"," Crime/Drama"," 1h 31m","39","51"
"181","WORTH","PG-13","2020"," Drama/Biography"," 1h 58m","77","82"
"182","ZONE 414 - CITY OF ROBOTS","R","2021"," Sci-fi/Mystery & thriller"," 1h 39m","40","17"
"183","MONA LISA AND THE BLOOD MOON","R","2021"," Mystery & thriller/Sci-fi"," 1h 47m","68","74"
"184","BEING JAMES BOND","","2021"," Action/Documentary"," 46m","56",""
"185","BAD CANDY","","2020"," Holiday/Horror"," 1h 40m","18","50"
"186","FAUCI","PG-13","2021"," Documentary"," 1h 45m","2","86"
"187","KATE","R","2021"," Action/Adventure"," 1h 46m","51","46"
"188","LANGUAGE LESSONS","","2021"," Comedy/Drama"," 1h 31m","82","96"
"189","QUEENPINS","R","2021"," Comedy/Crime"," 1h 50m","82","47"
"190","THE CAPOTE TAPES","","2020"," Documentary"," 1h 38m","88","93"
"191","THE CARD COUNTER","R","2020"," Mystery & thriller/Drama"," 1h 49m","42","87"
"192","THE MANSON BROTHERS MIDNIGHT ZOMBIE MASSACRE","","2021"," Horror"," 1h 33m","64",""
"193","STRAIGHT OUTTA NOWHERE: SCOOBY-DOO MEETS COURAGE THE COWARDLY DOG","","2021"," Kids & family/Comedy"," 1h 18m","67",""
"194","SCHUMACHER","","2021"," Documentary/Biography"," 1h 52m","72","57"
"195","THE NOWHERE INN","","2020"," Comedy/Music"," 1h 32m","75","67"
"196","BEST SELLERS","","2021"," Comedy/Drama"," 1h 40m","51","53"
"197","CHRISTMAS FREAK","","2021"," Holiday/Comedy"," 1h 31m","78",""
"198","COPSHOP","R","2021"," Action/Mystery & thriller"," 1h 48m","74","82"
"199","LADY OF THE MANOR","R","2021"," Comedy/Fantasy"," 1h 36m","40","28"
"200","PRISONERS OF THE GHOSTLAND","","2021"," Action/Adventure"," 1h 40m","20","61"
"201","THE EYES OF TAMMY FAYE","PG-13","2000"," Documentary"," 1h 19m","72","87"
"202","NIGHT OF THE ANIMATED DEAD","R","2021"," Horror/Animation"," 1h 11m","36","22"
"203","INTRUSION","","2021"," Mystery & thriller"," 1h 32m","64","19"
"204","DEAR EVAN HANSEN","PG-13","2021"," Musical/Drama"," 2h 17m","88","29"
"205","LAMB","R","2021"," Horror/Fantasy"," 1h 46m","61","86"
"206","ATTACK OF THE HOLLYWOOD CLICHÉS!","","2021"," Comedy"," 58m","37","100"
"207","BRITNEY VS SPEARS","","2021"," Documentary/Music"," 1h 34m","55","60"
"208","THE UNITED STATES OF INSANITY","","2021"," Documentary/Music"," 1h 39m","94","100"
"209","MEMORIA","PG","2021"," Drama"," 2h 16m","42","90"
"210","AMERICAN NIGHT","R","2021"," Action/Mystery & thriller"," 2h 4m","89","20"
"211","BLUSH","PG","2021"," Sci-fi/Animation"," 11m","",""
"212","ESCAPE FROM DEATH BLOCK 13","","2021"," Action/Mystery & thriller"," 1h 45m","",""
"213","LEGO STAR WARS TERRIFYING TALES","","2021"," Action/Adventure"," 44m","62",""
"214","OLD HENRY","","2021"," Western/Action"," 1h 39m","91","94"
"215","STOP AND GO","","2021"," Comedy"," 1h 20m","70","76"
"216","THE ADDAMS FAMILY 2","PG","2021"," Kids & family/Comedy"," 1h 33m","69","28"
"217","THE MANY SAINTS OF NEWARK","R","2021"," Crime/Drama"," 2h 0m","59","72"
"218","TITANE","R","2021"," Horror/Mystery & thriller"," 1h 48m","85","90"
"219","VENOM: LET THERE BE CARNAGE","PG-13","2021"," Action/Adventure"," 1h 26m","84","57"
"220","MAYDAY","","2021"," Drama/Fantasy"," 1h 40m","34","51"
"221","NEW YORK NINJA","","2021"," Action/Comedy"," 1h 33m","","96"
"222","ESCAPE THE UNDERTAKER","","2021"," Horror/Kids & family"," 31m","32",""
"223","THE MUTATION","","2021"," Horror"," 1h 20m","",""
"224","THERE'S SOMEONE INSIDE YOUR HOUSE","","2021"," Horror"," 1h 36m","17","47"
"225","V/H/S/94","","2021"," Horror"," 1h 43m","54","91"
"226","AILEEN WUORNOS: AMERICAN BOOGEYWOMAN","","2021"," Crime/Drama"," 1h 40m","10","20"
"227","YAKUZA PRINCESS","R","2021"," Mystery & thriller"," 1h 51m","36","34"
"228","JUSTIN BIEBER: OUR WORLD","PG","2021"," Holiday/Documentary"," 1h 34m","90","57"
"229","MASS","","2004"," Action"," 2h 50m","50",""
"230","MUPPETS HAUNTED MANSION","","2021"," Comedy/Fantasy"," 52m","60","71"
"231","NO TIME TO DIE","","1985"," Action"," 1h 27m","",""
"232","SOUTH OF HEAVEN","","2008"," Comedy/Crime"," 1h 37m","55",""
"233","SURVIVE THE GAME","R","2021"," Action/Mystery & thriller"," 1h 37m","6","14"
"234","BRIGHT: SAMURAI SOUL","","2021"," Fantasy/Anime"," 1h 20m","37","40"
"235","FREDA","","2021"," Drama"," 1h 29m","",""
"236","GRAVE INTENTIONS","","2021"," Horror"," 1h 27m","","67"
"237","HALLOWEEN KILLS","R","2021"," Holiday/Horror"," 1h 45m","66","38"
"238","INJUSTICE","","2017"," Mystery & thriller"," 1h 21m","",""
"239","NIGHT TEETH","","2021"," Mystery & thriller/Crime"," 1h 47m","46","38"
"240","DUNE","PG-13","2021"," Sci-fi/Adventure"," 2h 35m","90","83"
"241","EVERY LAST ONE OF THEM","R","2021"," Action/Mystery & thriller"," 1h 22m","20",""
"242","RON'S GONE WRONG","PG","2021"," Kids & family/Comedy"," 1h 47m","94","80"
"243","WARNING","","2013"," Mystery & thriller"," 1h 49m","29",""
"244","BAD BEN: BENIGN","","2021"," Horror"," 1h 39m","",""
"245","ANTLERS","R","2021"," Horror/Mystery & thriller"," 1h 39m","67","60"
"246","HEART OF CHAMPIONS","PG-13","2021"," Drama"," 2h 0m","81","29"
"247","LAST NIGHT IN SOHO","R","2021"," Mystery & thriller/Drama"," 1h 57m","90","76"
"248","PLANET DUNE","","2021"," Sci-fi/Action"," 1h 20m","50",""
"249","NOAH'S SHARK","","2021"," Horror/Mystery & thriller"," 1h 20m","",""
"250","ETERNALS","PG-13","2021"," Action/Adventure"," 2h 37m","77","47"
"251","13 MINUTES","PG-13","2021"," Mystery & thriller/Drama"," 1h 48m","40","27"
"252","FINCH","PG-13","2021"," Sci-fi/Drama"," 1h 55m","66","73"
"253","ACCORDING TO SPENCER","R","2001"," Romance/Comedy"," 1h 33m","22",""
"254","THE DEEP HOUSE","","2021"," Horror/Mystery & thriller"," 1h 25m","33","74"
"255","VIOLET","","2000"," Comedy"," 1h 45m","",""
"256","THE PASSING","","1985"," Drama"," 1h 36m","",""
"257","BELFAST","PG-13","2021"," Drama"," 1h 37m","92","86"
"258","CIAO ALBERTO","G","2021"," Kids & family/Comedy"," 8m","76",""
"259","HOME SWEET HOME ALONE","PG","2021"," Kids & family/Holiday"," 1h 33m","11","16"
"260","RED NOTICE","PG-13","2021"," Action/Comedy"," 1h 57m","92","36"
"261","THE PRINCESS SWITCH 3: ROMANCING THE STAR","","2021"," Holiday/Romance"," 1h 46m","41","53"
"262","A HOUSE ON THE BAYOU","","2021"," Horror/Mystery & thriller"," 1h 29m","36",""
"263","GHOSTBUSTERS: AFTERLIFE","PG-13","2021"," Comedy/Fantasy"," 2h 4m","94","63"
"264","KING RICHARD","PG-13","2021"," Biography/Drama"," 2h 26m","98","90"
"265","PUPS ALONE","PG","2021"," Kids & family/Holiday"," 1h 50m","38",""
"266","TICK, TICK... BOOM!","PG-13","2021"," Musical/Drama"," 1h 55m","96","88"
"267","8-BIT CHRISTMAS","PG","2021"," Holiday/Comedy"," 1h 45m","75","83"
"268","A BOY CALLED CHRISTMAS","","2021"," Kids & family/Holiday"," 1h 46m","59","83"
"269","BECOMING COUSTEAU","PG-13","2021"," Documentary/Biography"," 1h 33m","86","98"
"270","BRUISED","R","2020"," Drama"," 2h 12m","55","49"
"271","RESIDENT EVIL: WELCOME TO RACCOON CITY","R","2021"," Horror/Action"," 1h 47m","65","30"
"272","ROBIN ROBIN","G","2021"," Kids & family/Holiday"," 32m","80","100"
"273","HOUSE OF GUCCI","R","2021"," Drama"," 2h 37m","83","62"
"274","THE LAST RITE","","2021"," Horror"," 1h 47m","","83"
"275","C'MON C'MON","R","2021"," Drama"," 1h 48m","79","94"
"276","DEATH LINK","","2021"," Drama/Horror"," 1h 28m","",""
"277","THE POWER OF THE DOG","R","2021"," Western/Drama"," 2h 8m","76","94"
"278","THE ADVENT CALENDAR","","2020"," Mystery & thriller/Horror"," 1h 30m","63","81"
"279","BENEDETTA","","2021"," Drama/Lgbtq+"," 2h 11m","90","84"
"280","CASTLE FALLS","","2021"," Action/Mystery & thriller"," 1h 30m","43","88"
"281","SILENT NIGHT","","2020"," Crime/Drama"," 1h 33m","43","43"
"282","DEATH TO METAL","","2019"," Horror"," 1h 20m","",""
"283","ENCOUNTER","R","2021"," Sci-fi/Mystery & thriller"," 1h 48m","51","57"
"284","PORTAL RUNNER","","2020"," Sci-fi/Adventure"," 1h 13m","","83"
"285","RED ROCKET","R","2021"," Comedy/Drama"," 2h 8m","75","90"
"286","THE UNFORGIVABLE","R","2021"," Drama"," 1h 52m","75","38"
"287","WEST SIDE STORY","PG-13","2021"," Musical/Romance"," 2h 36m","93","91"
"288","NIGHTMARE ALLEY","R","2021"," Mystery & thriller/Crime"," 2h 30m","68","81"
"289","SPIDER-MAN: NO WAY HOME","PG-13","2021"," Action/Adventure"," 2h 28m","98","93"
"290","SWAN SONG","","1986"," Drama"," 1h 39m","",""
"291","BEING THE RICARDOS","R","2021"," Biography/Drama"," 2h 5m","75","68"
"292","THE MATRIX RESURRECTIONS","R","2021"," Sci-fi/Action"," 2h 28m","63","63"
"293","SING 2","PG","2021"," Kids & family/Musical"," 1h 50m","98","71"
"294","THE KING'S MAN","R","2021"," Action/Adventure"," 2h 11m","80","41"
"295","DON'T LOOK UP","R","2021"," Comedy"," 2h 18m","78","56"
"296","A JOURNAL FOR JORDAN","PG-13","2021"," Drama/Romance"," 2h 11m","95","39"
"297","LICORICE PIZZA","R","2021"," Comedy"," 2h 13m","65","91"
"298","MACBETH","R","1971"," Drama"," 2h 20m","73","84"
"299","THE DIVE","","2014"," Drama"," 10m","",""
"300","THE LOST DAUGHTER","R","2021"," Drama"," 2h 2m","52","94"
"301","CLERK","","2021"," Documentary"," 1h 55m","48","82"
"302","ELVIS","PG-13","2022"," Biography/Drama"," 2h 39m","94","77"
"303","ESTHER","","1986"," Drama"," 1h 33m","",""
"304","MY FATHER'S DRAGON","","1997"," Fantasy/Animation"," 1h 39m","",""
"305","OUIJA SHARK 2","","2022"," Horror"," 1h 22m","",""
"306","SECRET WARS","","1970"," Drama"," 1h 50m","",""
"307","SPACECAMP","PG","1986"," Adventure"," 1h 47m","50","46"
