"","rotten_tomatoes_link","movie_title","content_rating","genres","original_release_date","streaming_release_date","runtime","tomatometer_status","tomatometer_rating","audience_status","audience_rating"
"38","m/10004925-matador","The Matador","R","Action & Adventure, Comedy, Drama, Mystery & Suspense","2006-01-27","2016-11-18",97,"Certified-Fresh",75,"Upright",65
"39","m/10005057-smile","Smile","PG-13","Art House & International, Comedy, Drama","2005-04-08","2016-11-18",107,"Rotten",15,"Upright",66
"40","m/10005104-intruder","The Intruder (L'Intrus)","G","Art House & International, Drama","2005-12-23","2006-04-25",130,"Fresh",87,"Upright",73
"41","m/10005178-saint_ralph","Saint Ralph","PG-13","Comedy, Drama","2005-08-05","2017-05-11",98,"Fresh",64,"Upright",85
"42","m/10005403-the_baxter","The Baxter","PG-13","Comedy, Romance","2005-08-26","2018-07-02",91,"Rotten",32,"Upright",75
"43","m/10005499-oliver_twist","Oliver Twist","PG-13","Drama, Kids & Family","2005-09-30","2012-04-16",130,"Fresh",61,"Upright",63
"44","m/1000560-alamo","The Alamo","NR","Action & Adventure, Classics, Drama, Western","1960-10-24","2016-11-30",192,"Rotten",52,"Upright",63
"45","m/10005755-g","G","R","Drama, Romance","2005-09-16","2018-04-10",96,"Rotten",24,"Upright",60
"46","m/1000580-alexander_the_great","Alexander the Great","G","Classics","1956-03-28","2017-01-17",141,"Rotten",0,"Spilled",42
"47","m/1000581-alfie","Alfie","PG","Classics, Comedy, Drama, Romance","1966-08-24","2013-08-01",114,"Fresh",96,"Upright",76
"48","m/10005819-10005819-neverwas","Neverwas","PG-13","Drama, Mystery & Suspense","2005-09-09","2016-04-19",102,"Rotten",14,"Upright",65
"49","m/10006007-the_second_chance","The Second Chance","PG-13","Drama, Faith & Spirituality","2006-02-17","2006-07-18",104,"Rotten",44,"Upright",78
"50","m/10006057-moonlight","Moonlight","R","Drama, Mystery & Suspense","2003-10-17","2020-03-13",90,"Fresh",60,"Upright",67
"51","m/1000617-aliens","Aliens","R","Action & Adventure, Horror, Science Fiction & Fantasy","1986-07-18","2015-11-25",137,"Certified-Fresh",97,"Upright",94
