"","rotten_tomatoes_link","movie_title","content_rating","genres","original_release_date","streaming_release_date","runtime","tomatometer_status","tomatometer_rating","audience_status","audience_rating"
"4704","m/closet_monster","Closet Monster","NR","Drama","2016-09-23","2017-03-18",90,"Fresh",81,"Upright",72
"4705","m/cloud_atlas_2012","Cloud Atlas","R","Drama, Science Fiction & Fantasy","2012-10-26","2014-03-01",172,"Fresh",67,"Upright",66
"4706","m/cloudburst_2012","Cloudburst","NR","Action & Adventure, Comedy, Drama","2012-09-08","2016-08-10",93,"Fresh",100,"Upright",77
"4707","m/clouds_of_sils_maria","Clouds of Sils Maria","R","Drama","2015-04-10","2016-11-30",123,"Certified-Fresh",90,"Upright",65
"4708","m/cloudy_with_a_chance_of_meatballs_2_2013","Cloudy with a Chance of Meatballs 2","PG","Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy","2013-09-27","2015-01-01",95,"Fresh",70,"Upright",66
"4709","m/clover_2020","Clover","NR","Action & Adventure, Comedy, Mystery & Suspense","2020-04-03","2020-04-03",91,"Rotten",28,"Upright",60
"4710","m/cloverfield","Cloverfield","PG-13","Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy","2008-01-16","2013-08-01",85,"Certified-Fresh",77,"Upright",68
"4711","m/clown_2016","Clown","R","Horror","2016-06-17","2017-04-01",100,"Rotten",44,"Spilled",37
"4712","m/clowntergeist","Clowntergeist","NR","Horror","2017-09-05","2017-09-12",80,"Rotten",17,"Spilled",29
"4713","m/clowntown_2016","ClownTown","NR","Horror","2016-09-30","2016-10-25",86,"Rotten",9,"Spilled",30
"4714","m/club-dread","Club Dread","R","Comedy, Horror","2004-02-27","2015-11-25",103,"Rotten",29,"Spilled",44
"4715","m/club_life_2015","Club Life","R","Drama","2015-05-29","2016-03-08",90,"Rotten",20,"Spilled",17
"4716","m/club_paradise","Club Paradise","PG-13","Comedy","1986-07-11","2009-01-01",104,"Rotten",11,"Spilled",35
"4717","m/clue","Clue","PG","Comedy, Drama, Mystery & Suspense","1985-12-13","2013-08-01",96,"Fresh",65,"Upright",86
"4718","m/clueless","Clueless","PG-13","Comedy, Special Interest, Romance","1995-07-21","2014-06-06",97,"Certified-Fresh",82,"Upright",76
"4719","m/coach_carter","Coach Carter","PG-13","Drama","2005-01-14","2013-08-01",136,"Fresh",64,"Upright",85
"4720","m/coachella","Coachella","R","Documentary, Musical & Performing Arts","2006-12-31","2015-11-22",115,"Fresh",88,"Upright",75
"4721","m/coal_miners_daughter","Coal Miner's Daughter","PG","Drama, Musical & Performing Arts","1980-03-07","2015-09-11",125,"Fresh",86,"Upright",86
"4722","m/cobb","Cobb","R","Drama","1994-12-02","2016-11-21",128,"Fresh",65,"Spilled",59
"4723","m/cobra","Cobra","R","Action & Adventure, Mystery & Suspense","1986-05-23","2008-09-01",83,"Rotten",14,"Spilled",42
"4724","m/cobra_verde","Cobra Verde","NR","Action & Adventure, Art House & International, Drama","1987-12-03","2016-12-15",110,"Fresh",82,"Upright",76
"4725","m/cockettes","The Cockettes","R","Documentary, Drama, Musical & Performing Arts, Special Interest","2002-07-26","2019-06-04",99,"Certified-Fresh",91,"Upright",83
"4726","m/cockneys_vs_zombies","Cockneys vs Zombies","NR","Art House & International, Comedy, Horror","2013-08-02","2016-09-12",88,"Certified-Fresh",76,"Spilled",45
"4727","m/cocktail","Cocktail","R","Drama, Romance","1988-07-29","2016-08-10",104,"Rotten",7,"Spilled",58
"4728","m/cocktail_2012","Cocktail","NR","Comedy, Drama, Romance","2012-07-13","2016-11-30",146,"Fresh",60,"Spilled",44
"4729","m/coco_2017","Coco","PG","Action & Adventure, Animation, Comedy, Kids & Family","2017-11-22","2018-02-13",109,"Certified-Fresh",97,"Upright",94
"4730","m/coco_before_chanel","Coco Before Chanel","PG-13","Art House & International, Drama","2009-09-25","2012-04-16",105,"Fresh",64,"Spilled",57
"4731","m/coco_chanel_and_igor_stravinsky","Coco Chanel & Igor Stravinsky","R","Art House & International, Drama","2010-06-11","2012-09-04",120,"Rotten",53,"Spilled",43
"4732","m/cocoon_the_return","Cocoon: The Return","PG","Comedy, Drama, Science Fiction & Fantasy","1988-11-23","2015-11-25",116,"Rotten",33,"Spilled",35
"4733","m/coda_2020","Coda","NR","Drama","2020-01-31","2020-01-29",96,"Rotten",50,"Spilled",57
"4734","m/code","Thick as Thieves (The Code)","R","Action & Adventure, Drama","2009-01-09","2016-11-23",104,"Rotten",20,"Spilled",33
"4735","m/code_46","Code 46","R","Drama, Science Fiction & Fantasy, Romance","2004-08-06","2017-01-20",92,"Rotten",51,"Spilled",58
"4736","m/code_8","Code 8","NR","Comedy, Drama","2019-12-13","2019-12-13",98,"Fresh",79,"Upright",63
"4737","m/code_black_2014","Code Black","NR","Documentary, Special Interest","2014-06-20","2016-08-10",82,"Certified-Fresh",88,"Upright",80
"4738","m/code_name_geronimo","Code Name: Geronimo","NR","Action & Adventure, Drama, Mystery & Suspense","","",NA,"Rotten",36,"Spilled",28
"4739","m/code_name_the_cleaner","Code Name: The Cleaner","PG-13","Action & Adventure, Comedy","2007-01-05","2010-04-01",91,"Rotten",4,"Spilled",38
"4740","m/code_of_silence","Code of Silence","R","Action & Adventure, Drama","1985-05-03","2017-02-11",101,"Fresh",63,"Spilled",51
"4741","m/code_unknown","Code Unknown (Code inconnu: Récit incomplet de divers voyages)","NR","Art House & International, Drama","2000-01-01","2016-08-10",118,"Fresh",75,"Upright",79
"4742","m/codegirl_2015","Codegirl","NR","Documentary","","2016-11-09",107,"Fresh",60,"Upright",71
"4743","m/coffee_and_cigarettes","Coffee and Cigarettes","R","Art House & International, Comedy, Drama, Musical & Performing Arts","2004-05-14","2017-02-14",96,"Fresh",64,"Upright",75
"4744","m/coffee_and_kareem","Coffee & Kareem","NR","Action & Adventure, Comedy","","2020-04-04",88,"Rotten",20,"Spilled",30
"4745","m/coffin_rock","Coffin Rock","NR","Art House & International, Mystery & Suspense","2009-09-04","2017-04-05",92,"Fresh",70,"Spilled",30
"4746","m/coffy","Coffy","R","Action & Adventure, Classics","1973-06-13","2016-11-30",91,"Fresh",79,"Upright",76
"4747","m/cog","C.O.G.","R","Comedy, Drama","2013-09-20","2014-03-04",88,"Fresh",69,"Spilled",35
"4748","m/coherence_2013","Coherence","NR","Drama, Science Fiction & Fantasy","2014-06-20","2016-08-10",89,"Certified-Fresh",88,"Upright",81
"4749","m/cold_brook","Cold Brook","NR","Comedy, Drama","2019-11-08","2019-11-08",102,"Fresh",80,"",83
"4750","m/cold_comes_the_night_2013","Cold Comes The Night","R","Drama, Mystery & Suspense","2014-01-10","2015-02-01",90,"Rotten",44,"Spilled",29
"4751","m/cold_creek_manor","Cold Creek Manor","R","Drama, Mystery & Suspense","2003-09-19","2016-08-10",119,"Rotten",12,"Spilled",23
"4752","m/cold_fish","Cold Fish","R","Art House & International, Drama, Mystery & Suspense","2011-08-05","2016-11-20",144,"Fresh",74,"Upright",75
"4753","m/cold_in_july_2014","Cold in July","R","Drama, Mystery & Suspense","2014-05-23","2017-03-30",109,"Certified-Fresh",83,"Upright",67
"4754","m/cold_moon","Cold Moon","NR","Mystery & Suspense","2017-10-06","2017-10-06",92,"Fresh",70,"Spilled",34
"4755","m/cold_mountain","Cold Mountain","R","Action & Adventure, Drama, Romance","2003-12-25","2016-08-26",155,"Fresh",71,"Upright",77
"4756","m/cold_november","Cold November","NR","Drama","2018-03-23","2018-05-28",92,"Fresh",100,"Upright",63
"4757","m/cold_pursuit","Cold Pursuit","R","Action & Adventure, Drama, Mystery & Suspense","2019-02-08","2019-05-03",118,"Fresh",69,"Spilled",49
"4758","m/cold_skin","Cold Skin","NR","Mystery & Suspense, Science Fiction & Fantasy","2018-09-07","2018-09-07",96,"Rotten",48,"Spilled",56
"4759","m/cold_souls","Cold Souls","PG-13","Comedy, Drama","2009-08-07","2016-08-10",101,"Certified-Fresh",75,"Spilled",54
"4760","m/cold_sweat_2011","Cold Sweat (Sudor frío)","NR","Art House & International, Horror, Mystery & Suspense","","2016-03-10",90,"Fresh",75,"Spilled",42
"4761","m/cold_turkey","Cold Turkey","PG-13","Comedy","1971-02-19","2017-01-17",99,"Fresh",60,"Upright",65
"4762","m/cold_turkey_2013","Cold Turkey","NR","Drama","2013-11-15","2016-03-25",84,"Rotten",20,"Spilled",37
"4763","m/cold_war_2","Cold War 2","NR","Action & Adventure, Mystery & Suspense","2016-07-08","2017-02-07",114,"Rotten",56,"Spilled",57
"4764","m/cold_weather","Cold Weather","NR","Comedy, Drama, Mystery & Suspense","2011-02-04","2016-02-26",97,"Certified-Fresh",78,"Spilled",52
"4765","m/coldwater","Coldwater","NR","Drama","2014-08-15","2016-08-10",104,"Fresh",64,"Upright",60
"4766","m/colette_2018","Colette","R","Drama","2018-09-21","2018-12-04",111,"Certified-Fresh",87,"Upright",69
"4767","m/collaborator","Collaborator","NR","Comedy","2012-07-06","2016-08-10",87,"Fresh",73,"Upright",61
"4768","m/collateral","Collateral","R","Action & Adventure, Drama, Mystery & Suspense","2004-08-06","2014-08-01",120,"Certified-Fresh",86,"Upright",84
"4769","m/collateral_beauty","Collateral Beauty","PG-13","Drama","2016-12-16","2017-03-14",97,"Rotten",14,"Upright",64
"4770","m/college_road_trip","College Road Trip","G","Comedy","2008-03-03","2016-07-29",83,"Rotten",12,"Spilled",50
"4771","m/collide_2017","Collide","PG-13","Action & Adventure, Mystery & Suspense","2017-02-24","2017-05-16",94,"Rotten",23,"Spilled",34
"4772","m/colliding_dreams","Colliding Dreams","NR","Documentary","2016-03-04","2017-03-27",135,"Fresh",94,"Upright",62
"4773","m/colma_the_musical","Colma: The Musical","R","Comedy, Drama, Musical & Performing Arts","2006-03-21","2013-09-05",113,"Fresh",90,"Upright",69
"4774","m/colombiana","Colombiana","PG-13","Action & Adventure, Drama, Mystery & Suspense","2011-08-26","2013-02-05",107,"Rotten",28,"Upright",67
"4775","m/colonia","Colonia","R","Art House & International, Mystery & Suspense","2016-04-15","2016-06-08",110,"Rotten",26,"Upright",61
"4776","m/color-of-lies","The Color of Lies (Au coeur du mensonge)","NR","Art House & International, Drama, Mystery & Suspense","1999-12-31","2015-02-13",108,"Fresh",100,"Upright",60
"4777","m/color_of_freedom","Color of Freedom","R","Drama","2007-12-14","",118,"Rotten",44,"",NA
"4778","m/color_of_friendship","The Color of Friendship","G","Drama, Kids & Family, Television","2000-02-05","2016-09-10",83,"Fresh",100,"Upright",76
"4779","m/color_of_money","The Color of Money","R","Drama, Sports & Fitness","1986-10-08","2016-08-10",119,"Certified-Fresh",89,"Upright",73
"4780","m/color_of_night","Color of Night","R","Drama, Mystery & Suspense","1994-08-19","2016-08-10",121,"Rotten",22,"Spilled",30
"4781","m/color_of_paradise","The Color of Paradise","PG","Art House & International, Drama","2000-03-24","2013-07-30",90,"Fresh",87,"Upright",96
"4782","m/color_out_of_space","Color Out of Space","NR","Horror, Science Fiction & Fantasy","2020-01-24","2020-02-21",111,"Certified-Fresh",86,"",82
"4783","m/color_purple","The Color Purple","PG-13","Drama","1985-12-16","2016-05-23",152,"Fresh",81,"Upright",94
"4784","m/colossal","Colossal","R","Comedy, Romance","2017-04-07","2017-07-10",110,"Certified-Fresh",81,"Spilled",59
"4785","m/colour-me-kubrick","Color Me Kubrick","NR","Comedy, Drama","2007-03-23","2017-01-28",86,"Rotten",51,"Spilled",42
"4786","m/comancheros","The Comancheros","NR","Action & Adventure, Classics, Western","1961-10-30","2016-08-10",107,"Fresh",100,"Upright",75
"4787","m/combat_shock","Combat Shock (Fuerza en combate)","R","Action & Adventure, Drama, Horror","1986-05-14","2016-10-18",96,"Rotten",40,"Upright",65
"4788","m/come_and_find_me","Come And Find Me","R","Drama","2016-11-11","2017-01-17",112,"Fresh",62,"Spilled",33
"4789","m/come_as_you_are_2020","Come As You Are","NR","Comedy","2020-02-14","2020-02-09",107,"Certified-Fresh",94,"Upright",79
"4790","m/come_back_little_sheba","Come Back, Little Sheba","NR","Classics, Drama","1952-12-24","2018-11-06",99,"Fresh",86,"Upright",80
"4791","m/come_back_to_me","Come Back To Me","R","Horror, Mystery & Suspense","2014-07-25","2016-12-05",96,"Rotten",17,"Spilled",36
"4792","m/come_out_and_play","Come Out And Play","R","Horror","2013-03-22","2017-03-23",86,"Rotten",48,"Spilled",23
"4793","m/come_see_the_paradise","Come See the Paradise","R","Drama, Romance","1990-09-07","2015-11-25",134,"Fresh",64,"Upright",73
"4794","m/come_sunday","Come Sunday","NR","Drama","","2018-04-13",106,"Fresh",68,"Upright",60
"4795","m/come_to_daddy","Come to Daddy","R","Comedy, Drama, Mystery & Suspense","2020-02-07","2020-02-05",93,"Certified-Fresh",87,"",75
"4796","m/come_undone","Come Undone (Cosa voglio di più)","NR","Art House & International, Comedy, Drama","2010-12-03","2016-11-02",126,"Fresh",86,"Spilled",50
"4797","m/come_undone_2000","Come Undone","R","Art House & International, Drama","2000-02-08","2017-03-11",97,"Fresh",77,"Upright",67
"4798","m/come_what_may_2016","Come What May","NR","Drama","2016-09-09","2017-02-07",114,"Rotten",43,"Spilled",56
"4799","m/comebacks","The Comebacks","PG-13","Comedy","2007-10-19","2012-09-18",88,"Rotten",9,"Spilled",33
"4800","m/comedian","Comedian","R","Comedy, Documentary","2002-10-11","2017-11-07",82,"Certified-Fresh",77,"Upright",69
"4801","m/comedians","The Comedians","NR","Classics, Comedy, Drama","1967-10-31","2012-04-16",148,"Rotten",27,"Spilled",48
"4802","m/comedians_of_comedy_live_at_the_el_rey","The Comedians of Comedy","R","Comedy, Documentary, Special Interest, Television","2005-12-31","2016-12-05",103,"Rotten",44,"Upright",83
"4803","m/comes_a_bright_day_2012","Comes A Bright Day","NR","Art House & International, Drama, Mystery & Suspense, Romance","","2017-04-10",95,"Rotten",38,"Spilled",34
"4804","m/comes_a_horseman","Comes a Horseman","PG","Action & Adventure, Drama, Western, Romance","1978-10-25","2016-10-01",118,"Fresh",70,"Spilled",54
"4805","m/comet","Comet","R","Comedy, Drama, Romance","2014-12-05","2015-11-05",90,"Rotten",42,"Spilled",52
"4806","m/comic_book_confidential","Comic Book Confidential","PG","Documentary, Musical & Performing Arts, Special Interest","1999-01-01","2017-01-19",90,"Fresh",75,"Upright",62
"4807","m/comic_book_the_movie","Comic Book - The Movie","PG-13","Comedy","2004-01-27","2013-11-27",106,"Rotten",40,"Spilled",39
"4808","m/comic_con_episode_iv_a_fans_hope","Comic-Con: Episode IV - A Fan's Hope","PG-13","Documentary, Special Interest","2012-04-06","2015-05-07",86,"Certified-Fresh",82,"Upright",79
"4809","m/coming_through_the_rye","Coming Through The Rye","PG-13","Drama","2016-10-14","2016-12-13",97,"Fresh",70,"Upright",65
"4810","m/coming_to_america","Coming to America","R","Comedy, Romance","1988-06-29","2013-08-01",116,"Fresh",65,"Upright",85
"4811","m/coming_to_my_senses","Coming to My Senses","NR","Documentary","","2018-04-18",85,"Fresh",80,"Spilled",57
"4812","m/coming_up_roses_2012","Coming Up Roses","R","Drama","2012-11-09","2017-03-21",93,"Rotten",17,"Upright",71
"4813","m/commandments","Commandments","R","Comedy, Drama, Faith & Spirituality","1997-05-02","2015-05-07",86,"Rotten",24,"Spilled",36
"4814","m/commitment_2013","Commitment","NR","Action & Adventure, Drama, Mystery & Suspense","2013-12-06","2014-03-10",113,"Rotten",40,"Spilled",58
"4815","m/commune","Commune","NR","Documentary, Special Interest","2006-11-10","2020-04-17",78,"Fresh",95,"Spilled",46
"4816","m/compadres_2016","Compadres","R","Action & Adventure, Comedy","2016-04-22","2016-09-06",102,"Rotten",38,"Spilled",51
"4817","m/company_man","Company Man","PG-13","Comedy, Drama","2001-03-09","2016-08-10",86,"Rotten",14,"Spilled",44
"4818","m/company_of_wolves","The Company of Wolves","R","Drama, Horror, Science Fiction & Fantasy","1984-09-21","2019-01-04",95,"Fresh",80,"Upright",73
"4819","m/complete_history_of_my_sexual_failures","A Complete History of My Sexual Failures","NR","Comedy, Documentary, Special Interest","","2017-05-22",90,"Rotten",56,"Spilled",56
"4820","m/complete_unknown","Complete Unknown","R","Drama","2016-08-26","2016-10-04",91,"Rotten",52,"Spilled",24
"4821","m/compliance_2012","Compliance","R","Drama, Mystery & Suspense, Special Interest","2012-08-17","2016-08-10",90,"Certified-Fresh",89,"Upright",60
"4822","m/compulsion","Compulsion","NR","Classics, Drama, Mystery & Suspense","1959-01-01","2015-11-25",103,"Fresh",100,"Upright",86
"4823","m/computer_chess_2013","Computer Chess","NR","Comedy","2013-07-17","2016-08-10",91,"Certified-Fresh",88,"Spilled",53
"4824","m/computer_wore_tennis_shoes","The Computer Wore Tennis Shoes","G","Classics, Comedy, Kids & Family, Science Fiction & Fantasy","","2013-09-23",91,"Rotten",50,"Spilled",40
"4825","m/comradeship_1931","Comradeship (Kameradschaft)","NR","Art House & International, Drama","1931-01-01","",93,"Fresh",89,"Upright",79
"4826","m/con-artist","Con Artist","NR","Documentary, Musical & Performing Arts, Special Interest","2010-11-12","2016-11-20",84,"Fresh",100,"Upright",85
"4827","m/con_air","Con Air","R","Action & Adventure","1997-06-06","2016-08-10",115,"Rotten",56,"Upright",75
"4828","m/conan_obrien_cant_stop_2011","Conan O'Brien Can't Stop","R","Comedy, Documentary, Special Interest","2011-06-24","2016-09-06",89,"Certified-Fresh",82,"Upright",68
"4829","m/conan_the_barbarian","Conan the Barbarian","R","Action & Adventure, Science Fiction & Fantasy","1982-05-14","2015-10-30",129,"Fresh",64,"Upright",74
"4830","m/conan_the_barbarian_2011","Conan the Barbarian","R","Action & Adventure, Science Fiction & Fantasy","2011-08-19","2013-07-09",113,"Rotten",25,"Spilled",30
"4831","m/conan_the_destroyer","Conan the Destroyer","PG","Action & Adventure","1984-06-29","2015-09-11",101,"Rotten",25,"Spilled",38
"4832","m/concerning_violence","Concerning Violence","NR","Documentary, Special Interest","2014-12-05","2016-08-10",78,"Fresh",90,"Upright",71
"4833","m/concussion_2013","Concussion","R","Drama","2013-10-04","2016-08-10",96,"Certified-Fresh",75,"Spilled",58
"4834","m/concussion_2015","Concussion","PG-13","Drama","2015-12-25","2016-10-17",121,"Rotten",59,"Upright",74
"4835","m/condemned","The Condemned","R","Action & Adventure, Mystery & Suspense","2007-04-27","2016-08-26",113,"Rotten",15,"Spilled",58
"4836","m/condorman","Condorman","PG","Action & Adventure, Art House & International, Comedy, Mystery & Suspense, Science Fiction & Fantasy","1981-08-07","2015-08-07",90,"Rotten",23,"Upright",65
"4837","m/coneheads","Coneheads","PG","Comedy, Science Fiction & Fantasy","1993-07-23","2013-08-01",88,"Rotten",35,"Spilled",37
"4838","m/confessions_of_a_burning_man","Confessions of a Burning Man","NR","Documentary, Special Interest","2003-09-12","",86,"Rotten",30,"Upright",60
"4839","m/confessions_of_a_dangerous_mind","Confessions of a Dangerous Mind","R","Comedy, Drama, Mystery & Suspense","2003-08-15","2016-11-07",113,"Certified-Fresh",79,"Upright",75
"4840","m/confessions_of_a_shopaholic","Confessions of a Shopaholic","PG","Comedy, Drama","2009-02-13","2016-08-10",105,"Rotten",25,"Spilled",49
"4841","m/confessions_of_a_superhero","Confessions of a Superhero","R","Documentary, Special Interest","2007-11-02","2016-08-10",92,"Fresh",100,"Upright",73
"4842","m/confessions_of_a_teenage_drama_queen","Confessions of a Teenage Drama Queen","PG","Comedy","2004-02-20","2016-06-10",89,"Rotten",14,"Spilled",35
"4843","m/confetti","Confetti","R","Comedy, Drama","2006-09-15","2012-09-18",100,"Rotten",57,"Spilled",48
"4844","m/confidence","Confidence","R","Drama","2003-04-25","2016-11-07",98,"Fresh",69,"Upright",70
"4845","m/confirmation","Confirmation","NR","Drama, Television","2016-04-16","2016-11-30",110,"Certified-Fresh",83,"Upright",74
"4846","m/confucius_2008","Confucius","NR","Art House & International, Drama","2010-01-28","2016-11-13",125,"Rotten",45,"Spilled",38
"4847","m/congo","Congo","PG-13","Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy","1995-06-09","2013-08-01",103,"Rotten",22,"Spilled",29
"4848","m/congo_white_king_red_rubber_black_death","Congo: White King, Red Rubber, Black Death","NR","Documentary, Musical & Performing Arts","2003-01-01","2018-08-25",75,"Fresh",100,"Upright",80
"4849","m/connected_an_autoblogography_about_love_death_and_technology","Connected: An Autoblogography About Love, Death & Technology","PG","Documentary, Special Interest","2011-09-16","2017-05-22",82,"Rotten",36,"Spilled",46
"4850","m/conor_mcgregor_notorious","Conor McGregor: Notorious","R","Documentary","","2017-11-21",95,"Rotten",50,"Upright",72
"4851","m/conquest_of_the_planet_of_the_apes","Conquest Of The Planet Of The Apes","PG","Action & Adventure, Classics, Science Fiction & Fantasy","1972-01-01","2015-11-25",86,"Rotten",50,"Spilled",46
"4852","m/conspiracy_theory","Conspiracy Theory","R","Action & Adventure, Drama, Mystery & Suspense","1997-08-08","2015-05-08",129,"Rotten",57,"Upright",64
"4853","m/constant_gardener","The Constant Gardener","R","Drama, Mystery & Suspense","2005-08-31","2014-02-12",128,"Certified-Fresh",83,"Upright",82
"4854","m/constantine","Constantine","R","Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy","2005-02-18","2008-08-15",120,"Rotten",46,"Upright",72
"4855","m/constantines_sword","Constantine's Sword","NR","Documentary, Special Interest, Faith & Spirituality","2007-06-24","2017-03-23",95,"Fresh",87,"Upright",77
"4856","m/contagion_2011","Contagion","PG-13","Action & Adventure, Mystery & Suspense","2011-09-09","2013-08-06",106,"Certified-Fresh",85,"Upright",63
"4857","m/contamination","Contamination","R","Action & Adventure, Horror, Science Fiction & Fantasy","1980-08-02","2017-05-02",90,"Rotten",40,"Spilled",29
"4858","m/conte_dhiver_1992","Conte d'hiver (A Tale of Winter)","G","Drama, Romance","1992-01-29","2016-08-10",113,"Fresh",95,"Upright",80
"4859","m/contempt","Contempt","PG","Art House & International, Comedy, Drama","1964-12-18","2016-10-20",103,"Certified-Fresh",93,"Upright",85
"4860","m/continental_divide","Continental Divide","PG","Comedy, Drama, Romance","1981-09-18","2015-05-07",103,"Fresh",70,"Spilled",53
"4861","m/contraband_2012","Contraband","R","Action & Adventure, Mystery & Suspense","2012-01-13","2015-12-01",110,"Rotten",52,"Spilled",57
"4862","m/contract_killer","Contract Killer","R","Action & Adventure, Art House & International, Comedy","2002-07-30","",NA,"Fresh",80,"Spilled",53
"4863","m/contract_to_kill","Contract to Kill","R","Action & Adventure, Drama","2016-12-09","2017-02-28",90,"Rotten",0,"Spilled",18
"4864","m/contracted","Contracted","NR","Drama, Horror, Mystery & Suspense","2013-11-22","2016-12-05",84,"Rotten",53,"Spilled",29
"4865","m/contracted_phase_ii","Contracted: Phase II","NR","Drama, Horror, Mystery & Suspense","2015-09-04","2017-01-16",78,"Rotten",38,"Spilled",14
"4866","m/control","Control","R","Drama, Musical & Performing Arts","2007-05-17","2016-08-10",121,"Certified-Fresh",88,"Upright",89
"4867","m/conventioneers","Conventioneers","NR","Comedy, Drama","2005-04-25","2017-03-23",95,"Fresh",75,"Spilled",59
"4868","m/conversation","The Conversation","PG","Drama, Mystery & Suspense","1974-04-07","2011-10-01",113,"Certified-Fresh",96,"Upright",90
"4869","m/conviction_2010","Conviction","R","Drama","2010-10-15","2015-11-25",106,"Fresh",67,"Upright",70
"4870","m/coogans_bluff","Coogan's Bluff","R","Action & Adventure, Classics, Drama","1968-10-02","2015-09-11",94,"Fresh",94,"Spilled",50
"4871","m/cook_off","Cook Off!","R","Comedy","2017-11-17","2017-11-17",98,"Rotten",25,"Upright",64
"4872","m/cook_the_thief_his_wife_and_her_lover","The Cook, the Thief, His Wife & Her Lover","NC17","Art House & International, Comedy, Drama, Romance","1989-09-11","2016-10-06",120,"Certified-Fresh",85,"Upright",88
"4873","m/cookie","Cookie","R","Comedy","1989-06-01","2016-06-03",93,"Rotten",15,"Spilled",39
"4874","m/cookies_fortune","Cookie's Fortune","PG-13","Comedy, Drama","1999-04-02","2016-10-01",118,"Certified-Fresh",86,"Upright",65
"4875","m/cookout","The Cookout","PG-13","Comedy","2004-09-03","2016-08-10",88,"Rotten",5,"Spilled",37
"4876","m/cool_as_ice","Cool as Ice","PG","Action & Adventure, Comedy, Drama, Musical & Performing Arts, Romance","1991-10-18","2012-06-15",90,"Rotten",6,"Spilled",44
"4877","m/cool_dry_place","A Cool Dry Place","PG-13","Drama","1998-11-06","2015-11-25",97,"Rotten",54,"Spilled",59
"4878","m/cool_hand_luke","Cool Hand Luke","PG","Classics, Drama","1967-01-01","2016-05-19",129,"Certified-Fresh",100,"Upright",95
"4879","m/cool_it","Cool It","PG","Documentary","2010-11-12","2016-12-31",89,"Rotten",52,"Upright",74
"4880","m/cooler","The Cooler","R","Drama, Romance","2003-11-26","2016-03-22",101,"Certified-Fresh",77,"Upright",69
"4881","m/cooley_high","Cooley High","PG","Classics, Comedy, Drama","1975-06-25","2017-04-11",107,"Fresh",85,"Upright",89
"4882","m/cooties","Cooties","R","Comedy, Horror","2015-09-18","2016-09-08",96,"Rotten",45,"Spilled",37
"4883","m/cop","Cop","R","Action & Adventure, Drama, Mystery & Suspense","1988-03-01","2016-11-01",105,"Fresh",83,"Spilled",48
"4884","m/cop_and_12","Cop & 1/2","PG","Comedy, Kids & Family","1993-04-02","2016-04-19",93,"Rotten",14,"Spilled",34
"4885","m/cop_car","Cop Car","R","Mystery & Suspense","2015-08-07","2016-01-05",88,"Certified-Fresh",80,"Spilled",53
"4886","m/cop_land","Cop Land","R","Action & Adventure, Drama, Mystery & Suspense","1997-08-15","2016-10-08",105,"Certified-Fresh",75,"Upright",67
"4887","m/cop_out","Cop Out","R","Comedy","2010-02-26","2012-01-01",103,"Rotten",19,"Spilled",40
"4888","m/copperhead_2013","Copperhead","PG-13","Drama","2013-06-28","2016-08-10",118,"Rotten",21,"Spilled",45
"4889","m/cops_and_robbersons","Cops And Robbersons","PG","Comedy","1994-04-15","2013-05-01",93,"Rotten",14,"Spilled",22
"4890","m/copwatch_2017","Copwatch","NR","Documentary","2017-09-22","2017-10-07",95,"Fresh",60,"Upright",87
"4891","m/copying_beethoven","Copying Beethoven, (Klang der Stille)","PG-13","Drama, Musical & Performing Arts, Romance","2006-11-10","2017-05-01",103,"Rotten",28,"Spilled",56
"4892","m/coral_reef_adventure","Coral Reef Adventure","NR","Documentary, Special Interest","2004-01-30","2016-11-30",45,"Fresh",91,"Upright",73
"4893","m/coraline","Coraline","PG","Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy","2009-02-06","2014-02-12",100,"Certified-Fresh",90,"Upright",73
"4894","m/core","The Core","PG-13","Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy","2003-03-28","2013-08-01",136,"Rotten",40,"Spilled",34
"4895","m/coriolanus_2010","Coriolanus","R","Drama, Mystery & Suspense","2011-01-13","2017-03-21",122,"Certified-Fresh",92,"Spilled",58
"4896","m/corky_romano","Corky Romano","PG-13","Comedy","2001-10-12","2016-06-23",86,"Rotten",7,"Spilled",39
"4897","m/cormans_world_exploits_of_a_hollywood_rebel","Corman's World: Exploits Of A Hollywood Rebel","R","Documentary, Television","2011-12-16","2017-03-21",95,"Certified-Fresh",92,"Upright",84
"4898","m/corpo_celeste","Corpo Celeste","NR","Art House & International, Comedy, Documentary, Drama, Special Interest, Faith & Spirituality","2012-06-08","2016-10-17",100,"Fresh",83,"Spilled",45
"4899","m/corporate_animals","Corporate Animals","R","Comedy, Horror","2019-09-20","2019-09-20",86,"Rotten",25,"Spilled",15
"4900","m/corporation","The Corporation","NR","Documentary, Drama, Special Interest","2004-04-23","2017-05-03",168,"Certified-Fresh",90,"Upright",90
"4901","m/corpse_bride","Tim Burton's Corpse Bride","PG","Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy","2005-09-16","2008-07-21",76,"Certified-Fresh",84,"Upright",77
